customer_id,acct_type,currency,account_id,iban,balance
SYN000000000,***RENT,SGD,*******2122,**************2364,400.04
SYN000000000,***INGS,SGD,*******1451,**************6569,49404.01
SYN000000000,***INGS,SGD,*******1412,**************8899,13878.69
SYN000000001,***RENT,SGD,*******1451,**************5476,1538.26
SYN000000001,***RENT,SGD,*******2650,**************7621,4217.07
SYN000000001,***INGS,MYR,*******1592,**************7845,5553.65
SYN000000001,***INGS,SGD,*******7120,**************6577,2654.48
SYN000000002,***INGS,SGD,*******4030,**************2738,427.36
SYN000000003,*IXED,SGD,*******2662,**************1599,9418.26
SYN000000004,*IXED,SGD,*******7340,**************4479,7405.55
SYN000000004,***INGS,MYR,*******7552,**************9767,11555.49
SYN000000004,***RENT,SGD,*******1980,**************4852,3401.22
SYN000000004,***INGS,SGD,*******2281,**************0067,6648.38
SYN000000005,***INGS,USD,*******4112,**************4722,7852.67
SYN000000006,***INGS,SGD,*******2981,**************2051,8383.29
SYN000000006,***INGS,SGD,*******1802,**************3459,15530.33
SYN000000007,*IXED,SGD,*******6742,**************8414,128484.57
SYN000000007,***INGS,SGD,*******0071,**************1965,13887.77
SYN000000007,*IXED,SGD,*******1061,**************0518,16659.98
SYN000000007,***INGS,MYR,*******3592,**************6659,2282.85
SYN000000008,*IXED,SGD,*******3711,**************2863,8878.79
SYN000000009,***RENT,USD,*******4711,**************7303,2874.51
SYN000000009,***RENT,SGD,*******7110,**************0407,518.5
SYN000000009,***INGS,SGD,*******0920,**************0935,1251.6
SYN000000009,***RENT,SGD,*******4672,**************3098,3052.43
SYN000000009,***INGS,SGD,*******7081,**************6931,6358.73
SYN000000010,***INGS,SGD,*******4751,**************3862,3829.43
SYN000000011,***INGS,SGD,*******7790,**************3434,7728.71
SYN000000012,*IXED,SGD,*******3600,**************9808,1391.29
SYN000000012,***INGS,USD,*******5992,**************3781,29481.7
SYN000000012,***INGS,USD,*******5650,**************1998,12924.05
SYN000000012,***INGS,SGD,*******5260,**************0728,633.41
SYN000000012,*IXED,SGD,*******1150,**************3355,2085.29
SYN000000012,***INGS,USD,*******5162,**************2515,5576.33
SYN000000012,***RENT,SGD,*******3592,**************7042,88907.82
SYN000000013,***INGS,SGD,*******6241,**************4187,4687.01
SYN000000013,***INGS,USD,*******2500,**************9780,582.12
SYN000000013,***RENT,SGD,*******0422,**************8455,1476.12
SYN000000013,***INGS,SGD,*******6292,**************4688,7403.44
SYN000000014,***INGS,USD,*******3421,**************7597,1379.54
SYN000000014,*IXED,SGD,*******2550,**************9739,1287.98
SYN000000014,***INGS,SGD,*******3632,**************1598,2666.12
SYN000000015,***INGS,MYR,*******7002,**************4623,5261.99
SYN000000016,***INGS,USD,*******7482,**************6234,2799.27
SYN000000016,***INGS,USD,*******6230,**************3832,3873.5
SYN000000016,***RENT,SGD,*******4710,**************6514,860.84
SYN000000017,*IXED,SGD,*******6120,**************8262,2446.69
SYN000000017,***RENT,SGD,*******4241,**************1749,6573.51
