_msg_id,_ts,_mt_type,71A,21,28D,50H_acct,50H_name,30,32B,57A,59_acct,59_name,70,_sender_bic,_receiver_bic,_format
REF00000788762,2026-07-13T08:03:19.417,101,SHA,TXN17715162,1/1,**************5899,YODAC ZSBVWC,260707,"MYD229,40",HSBCGB2L,**************7346,DYLHAA ZALU,INVOICE 40119,DBSSSGSG,CITIUS33,mt
REF00000698198,2026-07-05T10:06:51.178,101,OUR,TXN26119553,1/1,**************4610,TPTOE CFWDAQ,260713,"MUR584,06",HSBCGB2L,**************7090,PHCVRO CTVC,INVOICE 83592,DBSSSGSG,CITIUS33,mt
REF00000696062,2026-07-03T00:59:49.188,101,OUR,TXN79604349,1/1,**************0533,QSBIR CUJPLI,260706,"UYD178,85",CITIUS33,**************7128,HUGOQV AQCA,INVOICE 70188,DBSSSGSG,CITIUS33,mt
REF00000061920,2026-07-08T19:01:46.209,101,OUR,TXN01749410,1/1,**************3608,KEWPV MFBCSP,260709,"UGR157,66",CITIUS33,**************5841,FCRGEA LYDQ,INVOICE 23796,OCBCSGSG,HSBCGB2L,mt
REF00000221778,2026-07-07T08:52:28.900,101,OUR,TXN05261111,1/1,**************1343,EVJOB NIVZBF,260713,"MSR429,38",HSBCGB2L,**************5357,IEJEYO BSMY,INVOICE 67139,DBSSSGSG,MAYBMYKL,mt
REF00000574415,2026-07-04T06:02:49.147,101,OUR,TXN57124911,1/1,**************0784,LPKSO PBZPTF,260713,"EYR149,22",CITIUS33,**************7421,OXYQOJ IDYF,INVOICE 88292,DBSSSGSG,MAYBMYKL,mt
REF00000301372,2026-07-03T17:17:51.630,101,SHA,TXN37407767,1/1,**************7510,NNYDQ DPMVIU,260701,"USD930,19",MAYBMYKL,**************8055,GLDWWZ FSIE,INVOICE 45278,DBSSSGSG,MAYBMYKL,mt
REF00000067560,2026-07-10T03:15:16.390,101,OUR,TXN57506496,1/1,**************0102,XKZZO XCCMGB,260705,"ESR167,33",HSBCGB2L,**************7473,JZBHQC ZWKJ,INVOICE 25673,DBSSSGSG,MAYBMYKL,mt
REF00000153909,2026-07-13T22:40:19.549,101,SHA,TXN14976318,1/1,**************1176,OCSIC WNGDMG,260705,"UYR601,61",MAYBMYKL,**************3433,WOQHZL GQWN,INVOICE 19833,DBSSSGSG,HSBCGB2L,mt
REF00000539676,2026-07-02T05:16:15.964,101,SHA,TXN80028280,1/1,**************8835,FSGJB LREPYR,260701,"EUD310,48",MAYBMYKL,**************1746,PKEEBT FERC,INVOICE 46509,OCBCSGSG,MAYBMYKL,mt
REF00000293268,2026-07-06T10:13:00.880,101,SHA,TXN16150877,1/1,**************3799,WKFAV VBUCYZ,260706,"SSR120,70",CITIUS33,**************1657,EGBNMX KGVM,INVOICE 59684,DBSSSGSG,MAYBMYKL,mt
REF00000647744,2026-07-06T07:41:56.525,101,BEN,TXN57058796,1/1,**************9130,IRUJN KVSERC,260711,"ESD823,27",HSBCGB2L,**************2836,YIINMS IQDW,INVOICE 43209,UOVBSGSG,MAYBMYKL,mt
REF00000299357,2026-07-05T01:54:46.734,101,SHA,TXN58567519,1/1,**************8308,MIGJW SMBLOH,260705,"SUR654,42",MAYBMYKL,**************8879,YPFMJA CPMJ,INVOICE 43008,UOVBSGSG,MAYBMYKL,mt
REF00000448312,2026-07-12T21:02:10.215,101,OUR,TXN78339459,1/1,**************8088,NVPFM UPFJSL,260708,"EYD660,27",MAYBMYKL,**************7510,UTLGFQ SOZV,INVOICE 73217,DBSSSGSG,HSBCGB2L,mt
REF00000563244,2026-07-10T17:23:29.335,101,OUR,TXN95158247,1/1,**************3687,PVAZZ XOVZDA,260703,"EUD434,29",CITIUS33,**************6924,LZPCES KLYY,INVOICE 94856,UOVBSGSG,CITIUS33,mt
REF00000615825,2026-07-03T05:01:36.648,101,BEN,TXN21375152,1/1,**************4983,JJVVS KSJSGQ,260714,"USR837,10",HSBCGB2L,**************6417,XICRWT GKQK,INVOICE 84962,OCBCSGSG,CITIUS33,mt
REF00000317642,2026-07-05T00:14:58.278,101,SHA,TXN10609533,1/1,**************3053,KOICY QSSRDH,260708,"SSR319,21",CITIUS33,**************6200,ILEAMB VBGV,INVOICE 49927,OCBCSGSG,CITIUS33,mt
REF00000000790,2026-07-05T10:07:56.448,101,SHA,TXN51476735,1/1,**************6759,EKQLN QCYJIW,260711,"UGD644,74",MAYBMYKL,**************8822,PSHLQC UZAV,INVOICE 87466,DBSSSGSG,CITIUS33,mt
REF00000061967,2026-07-06T21:43:50.767,101,OUR,TXN84383860,1/1,**************4313,SKSHF PPVVER,260705,"USR708,03",MAYBMYKL,**************2236,TTCERH WFQY,INVOICE 25338,DBSSSGSG,HSBCGB2L,mt
REF00000166593,2026-07-03T14:53:21.318,101,SHA,TXN45158035,1/1,**************7978,QWYMK EWRSRT,260710,"EGD355,35",CITIUS33,**************7012,TOBLCL YVNB,INVOICE 68111,DBSSSGSG,CITIUS33,mt
