_msg_id,_ts,23B,71A,_sender_bic,_receiver_bic,32A_ccy,32A_amount,50K_acct,50K_name,59_acct,59_name,70,_format
REF00000627622,2026-07-08T05:10:44.200,CRED,OUR,UOVBSGSG,CITIUS33,MYR,1899.22,**************3060,YODACZ SBV,**************0819,WCDYLHA AZA,INVOICE 29004,mt103
REF00000519573,2026-07-04T16:55:23.654,CRED,SHA,DBSSSGSG,HSBCGB2L,MYR,131.14,**************0068,LUTPTO ECF,**************0024,WDAQPHC VRO,INVOICE 64905,mt103
REF00000249975,2026-07-08T23:20:29.307,CRED,OUR,UOVBSGSG,CITIUS33,USD,408.35,**************8794,CTVCQS BIR,**************7707,CUJPLIH UGO,INVOICE 30991,mt103
REF00000701515,2026-07-05T03:06:56.373,CRED,OUR,OCBCSGSG,HSBCGB2L,USD,902.5,**************5107,QVAQCA KEW,**************4759,PVMFBCS PFC,INVOICE 60410,mt103
REF00000799776,2026-07-03T05:31:18.162,CRED,OUR,OCBCSGSG,HSBCGB2L,SGD,399.46,**************5108,RGEALY DQE,**************1866,VJOBNIV ZBF,INVOICE 92929,mt103
REF00000325259,2026-07-06T06:36:51.504,CRED,SHA,DBSSSGSG,HSBCGB2L,SGD,1810.36,**************8057,IEJEYO BSM,**************8085,YLPKSOP BZP,INVOICE 54601,mt103
REF00000062467,2026-07-05T17:35:48.533,CRED,OUR,OCBCSGSG,CITIUS33,SGD,2151.44,**************0371,TFOXYQ OJI,**************0475,DYFNNYD QDP,INVOICE 92896,mt103
REF00000686105,2026-07-09T09:01:29.817,CRED,SHA,UOVBSGSG,HSBCGB2L,EUR,588.14,**************6164,MVIUGL DWW,**************7916,ZFSIEXK ZZO,INVOICE 47478,mt103
REF00000729892,2026-07-11T01:13:19.722,CRED,BEN,UOVBSGSG,HSBCGB2L,SGD,1313.12,**************8552,XCCMGB JZB,**************7146,HQCZWKJ OCS,INVOICE 19111,mt103
REF00000245433,2026-07-11T15:46:49.648,CRED,OUR,OCBCSGSG,MAYBMYKL,SGD,1300.55,**************6277,ICWNGD MGW,**************7537,OQHZLGQ WNF,INVOICE 34926,mt103
REF00000162418,2026-07-10T22:43:59.223,CRED,OUR,UOVBSGSG,HSBCGB2L,USD,864.08,**************3130,SGJBLR EPY,**************1350,RPKEEBT FER,INVOICE 00512,mt103
REF00000232978,2026-07-03T08:55:27.850,CRED,BEN,OCBCSGSG,CITIUS33,SGD,1939.55,**************2579,CWKFAV VBU,**************6855,CYZEGBN MXK,INVOICE 65905,mt103
REF00000615061,2026-07-11T00:37:38.856,CRED,OUR,OCBCSGSG,MAYBMYKL,SGD,803.88,**************5705,GVMIRU JNK,**************1416,VSERCYI INM,INVOICE 95852,mt103
REF00000024182,2026-07-13T04:02:37.122,CRED,SHA,OCBCSGSG,MAYBMYKL,SGD,478.24,**************5540,SIQDWM IGJ,**************3289,WSMBLOH YPF,INVOICE 15010,mt103
REF00000371803,2026-07-08T13:46:52.780,CRED,BEN,UOVBSGSG,CITIUS33,USD,161.52,**************6211,MJACPM JNV,**************7651,PFMUPFJ SLU,INVOICE 27785,mt103
REF00000338113,2026-07-01T10:15:39.458,CRED,BEN,DBSSSGSG,CITIUS33,USD,677.28,**************4828,TLGFQS OZV,**************0862,PVAZZXO VZD,INVOICE 35970,mt103
REF00000163363,2026-07-12T10:53:55.322,CRED,BEN,OCBCSGSG,MAYBMYKL,SGD,1130.99,**************7410,ALZPCE SKL,**************3877,YYJJVVS KSJ,INVOICE 29566,mt103
REF00000172368,2026-07-01T11:06:19.077,CRED,OUR,UOVBSGSG,MAYBMYKL,USD,1593.58,**************7876,SGQXIC RWT,**************6188,GKQKKOI CYQ,INVOICE 51162,mt103
REF00000168648,2026-07-11T03:54:51.564,CRED,SHA,UOVBSGSG,CITIUS33,SGD,2826.99,**************6690,SSRDHI LEA,**************8106,ZFSIEXK ZZO,INVOICE 30992,mt103
REF00000018824,2026-07-04T01:22:57.133,CRED,SHA,OCBCSGSG,CITIUS33,USD,539.84,**************1957,MBVBGV EKQ,**************7478,LNQCYJI WPS,INVOICE 40315,mt103
REF00000481767,2026-07-09T14:56:56.278,CRED,OUR,OCBCSGSG,MAYBMYKL,USD,5956.21,**************4010,HLQCUZ AVS,**************2813,KSHFPPV VER,INVOICE 99288,mt103
REF00000223051,2026-07-11T07:41:10.144,CRED,OUR,DBSSSGSG,CITIUS33,MYR,2051.99,**************9955,GVMIRU JNK,**************5962,TTCERHW FQY,INVOICE 92585,mt103
REF00000248812,2026-07-05T09:22:29.500,CRED,SHA,OCBCSGSG,MAYBMYKL,SGD,1449.52,**************3279,QWYMKE WRS,**************5684,RTTOBLC LYV,INVOICE 86066,mt103
REF00000760461,2026-07-05T00:38:34.747,CRED,OUR,UOVBSGSG,MAYBMYKL,SGD,1443.87,**************7973,SSRDHI LEA,**************0023,DYFNNYD QDP,INVOICE 92228,mt103
REF00000716295,2026-07-05T13:40:02.816,CRED,OUR,UOVBSGSG,MAYBMYKL,EUR,1219.44,**************3305,NBTTCK HTZ,**************8282,GLQWYMS PBA,INVOICE 85825,mt103
REF00000304029,2026-07-06T06:42:59.727,CRED,OUR,DBSSSGSG,CITIUS33,SGD,1040.5,**************9797,OZCJNK EPV,**************4863,YUHWZAX LSL,INVOICE 55077,mt103
REF00000585466,2026-07-01T02:41:13.170,CRED,OUR,UOVBSGSG,CITIUS33,USD,1360.6,**************4968,NFCUAG YGT,**************5491,OQHZLGQ WNF,INVOICE 31442,mt103
REF00000582384,2026-07-04T21:44:03.966,CRED,BEN,DBSSSGSG,HSBCGB2L,USD,368.21,**************5833,TRXEQE VIU,**************8340,XBTOLTX LJM,INVOICE 99237,mt103
REF00000481462,2026-07-12T17:32:23.059,CRED,OUR,DBSSSGSG,HSBCGB2L,SGD,2230.0,**************8700,NYLHJA KSI,**************4937,DRTBGRS SLR,INVOICE 22042,mt103
REF00000249958,2026-07-06T04:44:35.882,CRED,SHA,DBSSSGSG,CITIUS33,SGD,656.49,**************6665,FKJLIW WUF,**************1441,OFARWNH GOI,INVOICE 44814,mt103
REF00000754243,2026-07-08T13:05:46.046,CRED,BEN,DBSSSGSG,CITIUS33,USD,2021.4,**************0899,XFLXSN QPY,**************6175,TSPPQOX XZX,INVOICE 29212,mt103
REF00000706667,2026-07-05T06:12:20.830,CRED,OUR,OCBCSGSG,HSBCGB2L,MYR,1727.48,**************2916,LTDWVQ MSE,**************6564,DZPPDRR EZY,INVOICE 42428,mt103
REF00000406233,2026-07-12T02:18:33.741,CRED,OUR,DBSSSGSG,MAYBMYKL,USD,292.6,**************4453,SIQDWM IGJ,**************9083,IHWCKMJ WQL,INVOICE 89017,mt103
REF00000618745,2026-07-13T16:53:05.993,CRED,OUR,OCBCSGSG,CITIUS33,SGD,1535.91,**************4203,QWYMKE WRS,**************4807,RPKEEBT FER,INVOICE 11213,mt103
REF00000148492,2026-07-01T18:01:01.549,CRED,SHA,OCBCSGSG,HSBCGB2L,SGD,1036.05,**************2148,MRGTPV VOK,**************9628,OQDRZOC CGF,INVOICE 10104,mt103
REF00000668648,2026-07-11T07:38:16.066,CRED,OUR,OCBCSGSG,MAYBMYKL,USD,1761.49,**************8292,TKFMIW GIA,**************8754,FVKTDBB ZVI,INVOICE 31180,mt103
REF00000545684,2026-07-06T17:50:07.047,CRED,SHA,OCBCSGSG,MAYBMYKL,SGD,1776.11,**************6155,NKKJSN WSV,**************4389,FMMAJTT JWK,INVOICE 14925,mt103
REF00000507273,2026-07-12T12:22:59.864,CRED,OUR,OCBCSGSG,HSBCGB2L,USD,3410.36,**************8653,THEGTO TON,**************1020,QKQIZNM IVS,INVOICE 40868,mt103
