_msg_id,_ts,23B,71A,_sender_bic,_receiver_bic,32A_ccy,32A_amount,50K_acct,50K_name,59_acct,59_name,70,_mt_type,_format
REF00000788762,2026-07-12T08:18:11.922,CRED,OUR,OCBCSGSG,CITIUS33,SGD,4658.92,**************0466,YODAC ZSBV,**************6972,WCDY LH,INVOICE 49258,103,mt
REF00000198036,2026-07-04T21:43:33.742,CRED,SHA,OCBCSGSG,CITIUS33,USD,804.37,**************5594,AAZAL UTPT,**************1984,OECF WD,INVOICE 75594,103,mt
REF00000119553,2026-07-10T16:31:59.013,CRED,OUR,DBSSSGSG,MAYBMYKL,SGD,666.18,**************9007,AQPHC VROC,**************4519,TVCQ SB,INVOICE 98683,103,mt
REF00000053318,2026-07-09T06:38:34.956,CRED,OUR,OCBCSGSG,HSBCGB2L,USD,189.89,**************7986,IRCUJ PLIH,**************9886,UGOQ VA,INVOICE 56694,103,mt
REF00000384916,2026-07-13T04:53:40.604,CRED,SHA,DBSSSGSG,CITIUS33,USD,895.65,**************4596,QCAKE WPVM,**************8190,FBCS PF,INVOICE 10988,103,mt
REF00000217787,2026-07-02T12:48:21.140,CRED,BEN,OCBCSGSG,MAYBMYKL,SGD,217.85,**************2611,CRGEA LYDQ,**************9434,EVJO BN,INVOICE 60733,103,mt
REF00000671397,2026-07-01T16:41:00.683,CRED,SHA,OCBCSGSG,MAYBMYKL,USD,1835.16,**************1446,IVZBF IEJE,**************4415,YOBS MY,INVOICE 59684,103,mt
REF00000124911,2026-07-09T00:55:22.637,CRED,OUR,OCBCSGSG,MAYBMYKL,SGD,366.3,**************9005,LPKSO PBZP,**************8829,FBCS PF,INVOICE 01372,103,mt
REF00000531363,2026-07-06T07:12:56.903,CRED,OUR,DBSSSGSG,MAYBMYKL,SGD,905.39,**************0675,TFOXY QOJI,**************7407,DYFN NY,INVOICE 27832,103,mt
REF00000259151,2026-07-05T11:41:28.534,CRED,OUR,UOVBSGSG,MAYBMYKL,USD,83.48,**************7377,DQDPM VIUG,**************6199,LDWW ZF,INVOICE 49614,103,mt
REF00000153909,2026-07-02T12:28:41.562,CRED,OUR,OCBCSGSG,HSBCGB2L,SGD,336.48,**************9763,SIEXK ZZOX,**************1330,CCMG BJ,INVOICE 90134,103,mt
REF00000198335,2026-07-13T17:39:03.822,CRED,OUR,DBSSSGSG,HSBCGB2L,SGD,5873.54,**************2746,ZBHQC ZWKJ,**************8653,OCSI CW,INVOICE 70334,103,mt
REF00000554380,2026-07-01T23:00:16.771,CRED,BEN,UOVBSGSG,CITIUS33,SGD,343.55,**************8242,NGDMG WOQH,**************0465,ZLGQ WN,INVOICE 26858,103,mt
REF00000295280,2026-07-07T00:04:15.235,CRED,BEN,DBSSSGSG,MAYBMYKL,SGD,1159.71,**************1647,FSGJB LREP,**************4161,YRPK EE,INVOICE 55968,103,mt
REF00000026022,2026-07-08T20:19:08.660,CRED,OUR,OCBCSGSG,CITIUS33,SGD,551.05,**************4320,BTFER CWKF,**************1212,AVVB UC,INVOICE 70587,103,mt
REF00000789752,2026-07-05T19:46:19.330,CRED,OUR,OCBCSGSG,MAYBMYKL,EUR,1040.35,**************0458,YZEGB NMXK,**************4219,GVMI RU,INVOICE 89403,103,mt
REF00000021356,2026-07-12T11:02:55.508,CRED,OUR,OCBCSGSG,CITIUS33,USD,5063.01,**************6156,JNKVS ERCY,**************6372,IINM SI,INVOICE 63869,103,mt
REF00000786457,2026-07-07T06:41:19.984,CRED,SHA,OCBCSGSG,MAYBMYKL,MYR,205.3,**************2923,FSGJB LREP,**************9837,QDWM IG,INVOICE 73603,103,mt
REF00000018770,2026-07-08T00:50:45.562,CRED,OUR,UOVBSGSG,MAYBMYKL,SGD,270.79,**************2572,JWSMB LOHY,**************5295,YOBS MY,INVOICE 64068,103,mt
REF00000188168,2026-07-06T14:35:40.611,CRED,OUR,OCBCSGSG,MAYBMYKL,USD,1691.52,**************2002,QCAKE WPVM,**************6245,PFMJ AC,INVOICE 15220,103,mt
REF00000317642,2026-07-01T08:16:01.266,CRED,OUR,DBSSSGSG,CITIUS33,MYR,485.91,**************4106,PMJNV PFMU,**************7897,PFJS LU,INVOICE 53773,103,mt
REF00000149927,2026-07-05T11:07:55.178,CRED,OUR,OCBCSGSG,MAYBMYKL,MYR,202.87,**************8667,TLGFQ SOZV,**************0790,PVAZ ZX,INVOICE 13312,103,mt
REF00000673590,2026-07-03T18:54:15.077,CRED,OUR,UOVBSGSG,MAYBMYKL,SGD,863.11,**************1119,OVZDA LZPC,**************9956,ESKL YY,INVOICE 77688,103,mt
REF00000780480,2026-07-12T16:17:30.074,CRED,OUR,DBSSSGSG,MAYBMYKL,MYR,567.68,**************5116,JJVVS KSJS,**************3158,GQXI CR,INVOICE 25338,103,mt
REF00000235015,2026-07-11T08:15:58.666,CRED,SHA,OCBCSGSG,MAYBMYKL,MYR,4208.77,**************8757,WTGKQ KKOI,**************5746,CYQS SR,INVOICE 23812,103,mt
REF00000503070,2026-07-04T06:33:09.095,CRED,SHA,UOVBSGSG,CITIUS33,SGD,1036.3,**************0789,DHILE AMBV,**************2578,BGVE KQ,INVOICE 55245,103,mt
REF00000342894,2026-07-08T12:46:18.697,CRED,OUR,UOVBSGSG,CITIUS33,SGD,6670.15,**************8355,LNQCY JIWP,**************4790,YOBS MY,INVOICE 50207,103,mt
