_msg_id,_ts,_mt_type,119,21,_sender_bic,_receiver_bic,32A_ccy,32A_amount,52A,57A,58A,_format,50K_acct,50K_name,59_acct,59_name
REF00000788762,2026-07-06T08:03:50.724,202,COV,REL95896935,UOVBSGSG,CITIUS33,SGD,28775,UOVBSGSG,HSBCGB2L,HSBCGB2L,mt,**************7151,YODAC ZSB,**************6972,VWCDYL HAA
REF00000040119,2026-07-08T16:54:49.050,202,COV,REL48485069,DBSSSGSG,MAYBMYKL,EUR,29774,DBSSSGSG,HSBCGB2L,HSBCGB2L,mt,**************5474,ZALUT PTO,**************7869,ECFWDA QPH
REF00000343526,2026-07-13T14:56:26.917,202,COV,REL64847564,UOVBSGSG,MAYBMYKL,MYR,46376,DBSSSGSG,UOVBSGSG,MAYBMYKL,mt,**************5319,CVROC TVC,**************4310,QSBIRC UJP
REF00000308860,2026-07-10T07:24:19.297,202,COV,REL02010170,DBSSSGSG,HSBCGB2L,SGD,93957,OCBCSGSG,CITIUS33,MAYBMYKL,mt,**************1280,LIHUG OQV,**************4207,AQCAKE WPV
REF00000756670,2026-07-08T19:01:46.209,202,COV,REL20510174,OCBCSGSG,CITIUS33,USD,29789,UOVBSGSG,CITIUS33,MAYBMYKL,mt,**************9645,MFBCS PFC,**************8615,RGEALY DQE
REF00000221778,2026-07-12T05:54:39.127,202,COV,REL93798071,OCBCSGSG,HSBCGB2L,SGD,128832,DBSSSGSG,CITIUS33,CITIUS33,mt,**************9042,VJOBN IVZ,**************9434,QSBIRC UJP
REF00000500556,2026-07-05T01:28:55.669,202,COV,REL98817850,DBSSSGSG,MAYBMYKL,SGD,87711,UOVBSGSG,MAYBMYKL,HSBCGB2L,mt,**************4277,BFIEJ EYO,**************8418,BSMYLP KSO
REF00000207843,2026-07-11T13:34:10.222,202,COV,REL34540766,DBSSSGSG,HSBCGB2L,EUR,491744,UOVBSGSG,OCBCSGSG,MAYBMYKL,mt,**************3830,PBZPT FOX,**************1239,YQOJID YFN
REF00000178055,2026-07-03T04:30:07.395,202,COV,REL07767270,OCBCSGSG,CITIUS33,SGD,48177,DBSSSGSG,OCBCSGSG,MAYBMYKL,mt,**************2968,NYDQD PMV,**************7510,RGEALY DQE
REF00000600360,2026-07-07T14:19:59.801,202,COV,REL61990101,DBSSSGSG,MAYBMYKL,USD,69020,DBSSSGSG,OCBCSGSG,HSBCGB2L,mt,**************4261,IUGLD WWZ,**************0447,FSIEXK ZZO
REF00000377542,2026-07-03T14:10:05.245,202,COV,REL17133022,OCBCSGSG,MAYBMYKL,EUR,437504,OCBCSGSG,HSBCGB2L,HSBCGB2L,mt,**************1901,XCCMG BJZ,**************9077,BHQCZW KJO
REF00000763180,2026-07-10T15:31:54.428,202,COV,REL39676790,UOVBSGSG,MAYBMYKL,SGD,108217,UOVBSGSG,HSBCGB2L,CITIUS33,mt,**************6057,CSICW NGD,**************3505,MGWOQH ZLG
REF00000526477,2026-07-04T15:13:59.257,202,COV,REL23046509,DBSSSGSG,MAYBMYKL,EUR,20409,OCBCSGSG,OCBCSGSG,CITIUS33,mt,**************8582,PBZPT FOX,**************8280,QWNFSG JBL
REF00000128165,2026-07-03T23:40:57.484,202,COV,REL50877345,UOVBSGSG,MAYBMYKL,SGD,200095,DBSSSGSG,OCBCSGSG,CITIUS33,mt,**************4617,REPYR PKE,**************9940,EBTFER CWK
REF00000744880,2026-07-07T00:47:21.369,202,COV,REL12124265,UOVBSGSG,CITIUS33,SGD,20263,DBSSSGSG,CITIUS33,HSBCGB2L,mt,**************8796,FAVVB UCY,**************2432,ZEGBNM XKG
REF00000320906,2026-07-11T02:33:06.094,202,COV,REL44219835,OCBCSGSG,MAYBMYKL,SGD,49841,OCBCSGSG,UOVBSGSG,MAYBMYKL,mt,**************6689,VMIRU JNK,**************9752,VSERCY IIN
REF00000685045,2026-07-04T17:31:20.741,202,COV,REL91863724,DBSSSGSG,MAYBMYKL,USD,13926,OCBCSGSG,CITIUS33,CITIUS33,mt,**************6946,MSIQD WMI,**************1356,GJWSMB LOH
REF00000693536,2026-07-04T10:09:56.505,202,COV,REL64373217,DBSSSGSG,HSBCGB2L,SGD,78780,UOVBSGSG,UOVBSGSG,MAYBMYKL,mt,**************2445,YPFMJ ACP,**************7833,MJNVPF MUP
REF00000593286,2026-07-13T00:12:23.361,202,COV,REL95158247,DBSSSGSG,MAYBMYKL,SGD,137554,OCBCSGSG,UOVBSGSG,MAYBMYKL,mt,**************8564,CVROC TVC,**************8673,FJSLUT LGF
REF00000615825,2026-07-13T16:01:05.837,202,COV,REL53413175,DBSSSGSG,HSBCGB2L,EUR,167494,OCBCSGSG,CITIUS33,CITIUS33,mt,**************1375,QSOZV PVA,**************3282,ZZXOVZ DAL
REF00000644849,2026-07-01T03:37:26.979,202,COV,REL21912101,UOVBSGSG,HSBCGB2L,USD,49829,DBSSSGSG,DBSSSGSG,CITIUS33,mt,**************1036,ZPCES KLY,**************8953,YJJVVS KSJ
REF00000266165,2026-07-07T09:19:22.353,202,COV,REL82482358,DBSSSGSG,HSBCGB2L,USD,102678,OCBCSGSG,CITIUS33,MAYBMYKL,mt,**************5447,LIHUG OQV,**************4963,SGQXIC RWT
REF00000688221,2026-07-07T20:05:45.150,202,COV,REL73590390,OCBCSGSG,HSBCGB2L,USD,454958,OCBCSGSG,DBSSSGSG,CITIUS33,mt,**************6564,CSICW NGD,**************5905,GKQKKO ICY
REF00000376082,2026-07-05T11:17:52.936,202,COV,REL14313633,OCBCSGSG,HSBCGB2L,EUR,225354,DBSSSGSG,OCBCSGSG,MAYBMYKL,mt,**************4914,QSSRD HIL,**************2236,VWCDYL HAA
REF00000483734,2026-07-01T23:07:28.619,202,COV,REL77270125,OCBCSGSG,MAYBMYKL,USD,75097,DBSSSGSG,OCBCSGSG,CITIUS33,mt,**************8707,EAMBV BGV,**************2559,EKQLNQ CYJ
REF00000350906,2026-07-04T19:02:10.339,202,COV,REL50380396,UOVBSGSG,CITIUS33,SGD,49150,UOVBSGSG,HSBCGB2L,CITIUS33,mt,**************3885,IWPSH LQC,**************1415,UZAVSK SHF
