_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,32A_ccy,32A_amount,72,_format
REF00000788762,2026-07-04T00:30:16.490,900,REL46869589,OCBCSGSG,MAYBMYKL,**************7251,MYR,165.91,/BNF/WEI LIM,mt
REF00000177151,2026-07-07T18:15:45.976,900,REL20555266,DBSSSGSG,HSBCGB2L,**************1198,SGD,161.72,/BNF/HAKIM TAN,mt
REF00000069506,2026-07-11T10:47:16.775,900,REL46109248,DBSSSGSG,MAYBMYKL,**************4995,SGD,391.91,/BNF/ELAINE IYER,mt
REF00000539743,2026-07-09T14:51:07.223,900,REL79868307,UOVBSGSG,CITIUS33,**************4696,MYR,166.57,/BNF/ELAINE HASSAN,mt
REF00000007128,2026-07-11T15:41:31.638,900,REL34988607,OCBCSGSG,MAYBMYKL,**************3420,USD,1246.47,/BNF/DANIEL WONG,mt
REF00000515669,2026-07-02T16:40:26.970,900,REL03384916,OCBCSGSG,MAYBMYKL,**************6057,MYR,5817.46,/BNF/ELAINE IYER,mt
REF00000072360,2026-07-06T03:45:05.665,900,REL13237964,DBSSSGSG,MAYBMYKL,**************8831,USD,1594.82,/BNF/AISHA KRISHNAN,mt
REF00000221778,2026-07-11T16:20:38.102,900,REL72679379,UOVBSGSG,CITIUS33,**************4047,EUR,849.32,/BNF/GRACE CHUA,mt
REF00000334229,2026-07-01T23:47:17.245,900,REL39762851,UOVBSGSG,CITIUS33,**************9500,EUR,741.54,/BNF/PRIYA PILLAI,mt
REF00000598817,2026-07-12T08:13:57.135,900,REL88965144,DBSSSGSG,HSBCGB2L,**************4277,SGD,678.32,/BNF/KUMAR LEE,mt
REF00000249119,2026-07-10T19:51:38.481,900,REL78470930,UOVBSGSG,CITIUS33,**************4540,SGD,1031.47,/BNF/MARCUS LIM,mt
REF00000227190,2026-07-07T08:34:25.899,900,REL32677186,OCBCSGSG,MAYBMYKL,**************3637,USD,686.83,/BNF/KUMAR NG,mt
REF00000785963,2026-07-06T01:23:39.843,900,REL03606703,UOVBSGSG,MAYBMYKL,**************7720,SGD,132.74,/BNF/DANIEL ONG,mt
REF00000384055,2026-07-13T01:41:52.991,900,REL26186858,OCBCSGSG,CITIUS33,**************5750,SGD,849.8,/BNF/RAJESH ONG,mt
REF00000754289,2026-07-01T03:38:13.921,900,REL17133022,UOVBSGSG,CITIUS33,**************7550,MYR,232.67,/BNF/MARCUS WONG,mt
REF00000013411,2026-07-06T14:25:07.885,900,REL61983350,DBSSSGSG,MAYBMYKL,**************0741,EUR,763.42,/BNF/FATIMAH HASSAN,mt
REF00000679040,2026-07-08T01:07:37.437,900,REL46526477,OCBCSGSG,CITIUS33,**************2174,USD,928.92,/BNF/HAKIM WONG,mt
REF00000282802,2026-07-10T16:01:17.080,900,REL50060293,UOVBSGSG,HSBCGB2L,**************1744,MYR,515.59,/BNF/GRACE ONG,mt
REF00000778986,2026-07-10T19:10:12.363,900,REL59981724,DBSSSGSG,CITIUS33,**************2806,SGD,1242.15,/BNF/AISHA ABDULLAH,mt
REF00000665043,2026-07-10T04:07:27.517,900,REL88023722,UOVBSGSG,MAYBMYKL,**************0416,SGD,570.54,/BNF/HAKIM KRISHNAN,mt
REF00000208283,2026-07-04T23:16:14.946,900,REL70587967,DBSSSGSG,HSBCGB2L,**************2731,SGD,789.66,/BNF/MARCUS ONG,mt
REF00000209069,2026-07-04T05:34:11.488,900,REL44219835,UOVBSGSG,HSBCGB2L,**************8955,SGD,1866.7,/BNF/MEI LING SHARMA,mt
REF00000403663,2026-07-12T23:27:01.579,900,REL13564300,UOVBSGSG,MAYBMYKL,**************9725,SGD,458.33,/BNF/MARCUS ONG,mt
REF00000448312,2026-07-03T15:00:12.486,900,REL57615693,DBSSSGSG,MAYBMYKL,**************1117,SGD,5116.18,/BNF/KUMAR LIM,mt
REF00000578339,2026-07-03T07:25:16.629,900,REL57360365,OCBCSGSG,MAYBMYKL,**************1718,SGD,891.8,/BNF/DANIEL HASSAN,mt
REF00000373359,2026-07-05T12:53:37.381,900,REL97216529,OCBCSGSG,MAYBMYKL,**************8673,USD,859.52,/BNF/DANIEL WONG,mt
REF00000494856,2026-07-08T04:13:28.815,900,REL10973282,UOVBSGSG,CITIUS33,**************2572,SGD,1488.46,/BNF/RAJESH TAN,mt
REF00000413175,2026-07-04T12:57:41.538,900,REL76899664,DBSSSGSG,CITIUS33,**************1522,MYR,179.87,/BNF/PRIYA NG,mt
REF00000531231,2026-07-03T17:57:32.628,900,REL20058551,DBSSSGSG,MAYBMYKL,**************9742,SGD,3263.28,/BNF/MARCUS SHARMA,mt
REF00000326616,2026-07-05T00:14:58.278,900,REL88149927,OCBCSGSG,MAYBMYKL,**************6389,USD,973.62,/BNF/MEI LING NG,mt
REF00000000790,2026-07-06T11:34:26.317,900,REL48807157,OCBCSGSG,CITIUS33,**************3312,USD,4457.4,/BNF/PRIYA LEE,mt
REF00000435147,2026-07-10T22:53:15.839,900,REL65648323,UOVBSGSG,CITIUS33,**************4669,SGD,1703.86,/BNF/PRIYA PILLAI,mt
REF00000608203,2026-07-03T16:30:58.426,900,REL95586314,DBSSSGSG,CITIUS33,**************3675,MYR,2165.45,/BNF/DANIEL NG,mt
REF00000084324,2026-07-02T14:07:55.062,900,REL16659341,UOVBSGSG,CITIUS33,**************9483,SGD,1057.48,/BNF/HAKIM IYER,mt
REF00000584077,2026-07-08T00:41:30.050,900,REL23812245,UOVBSGSG,MAYBMYKL,**************5797,USD,1459.96,/BNF/MEI LING LIM,mt
REF00000768111,2026-07-11T09:34:01.526,900,REL57886729,UOVBSGSG,CITIUS33,**************5038,SGD,2377.43,/BNF/MEI LING SHARMA,mt
REF00000245126,2026-07-12T19:01:44.600,900,REL17762342,UOVBSGSG,HSBCGB2L,**************7887,SGD,12219.54,/BNF/SITI WONG,mt
REF00000057479,2026-07-13T23:10:11.990,900,REL93788008,OCBCSGSG,CITIUS33,**************5020,SGD,1152.61,/BNF/ELAINE IYER,mt
REF00000760914,2026-07-03T01:01:19.435,900,REL55492350,DBSSSGSG,HSBCGB2L,**************6560,SGD,487.26,/BNF/DANIEL ONG,mt
REF00000361395,2026-07-05T00:56:03.245,900,REL89096098,UOVBSGSG,HSBCGB2L,**************3835,SGD,1852.39,/BNF/MARCUS WONG,mt
