_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,32A_ccy,32A_amount,72,_format,50K_acct,50K_name,52A
REF00000788762,2026-07-11T09:47:08.664,910,REL47966697,UOVBSGSG,CITIUS33,**************5896,USD,360.31,/BNF/WEI LEE,mt,**************7715,YODAC ZSBVWC,DBSSSGSG
REF00000304011,2026-07-08T19:39:13.885,910,REL26678698,OCBCSGSG,MAYBMYKL,**************5069,MYR,161.72,/BNF/PRIYA NG,mt,**************4749,DYLHA AZALUT,DBSSSGSG
REF00000343526,2026-07-13T14:56:26.917,910,REL39743108,UOVBSGSG,MAYBMYKL,**************4756,SGD,262.83,/BNF/FATIMAH HASSAN,mt,**************5319,PTOEC FWDAQP,OCBCSGSG
REF00000308860,2026-07-13T20:15:47.157,910,REL31812342,DBSSSGSG,HSBCGB2L,**************5002,SGD,1996.89,/BNF/GRACE TAN,mt,**************4543,HCVRO CTVCQS,OCBCSGSG
REF00000605756,2026-07-08T04:59:32.143,910,REL20558417,UOVBSGSG,HSBCGB2L,**************8191,SGD,956.88,/BNF/MARCUS ONG,mt,**************8831,BIRCU JPLIHU,DBSSSGSG
REF00000459658,2026-07-12T03:16:28.093,910,REL62217787,UOVBSGSG,MAYBMYKL,**************4340,SGD,250.72,/BNF/PRIYA LEE,mt,**************8071,GOQVA QCAKEW,OCBCSGSG
REF00000342290,2026-07-01T18:34:16.400,910,REL40579500,OCBCSGSG,HSBCGB2L,**************1416,SGD,545.05,/BNF/ELAINE WONG,mt,**************1785,PVMFB CSPFCR,OCBCSGSG
REF00000596842,2026-07-03T07:48:47.974,910,REL44602078,OCBCSGSG,MAYBMYKL,**************9119,USD,678.32,/BNF/MARCUS LIM,mt,**************8829,GEALY DQEVJO,UOVBSGSG
REF00000093013,2026-07-01T07:17:28.423,910,REL22719005,OCBCSGSG,MAYBMYKL,**************5313,SGD,1414.11,/BNF/ELAINE SHARMA,mt,**************6374,BNIVZ BFIEJE,DBSSSGSG
REF00000630345,2026-07-02T05:14:21.672,910,REL92772006,DBSSSGSG,CITIUS33,**************3167,SGD,1107.7,/BNF/RAJESH LEE,mt,**************0555,YOBSM YLPKSO,OCBCSGSG
REF00000038537,2026-07-01T22:28:54.207,910,REL26186858,OCBCSGSG,CITIUS33,**************2896,MYR,1207.93,/BNF/GRACE SHARMA,mt,**************7550,PBZPT FOXYQO,UOVBSGSG
REF00000229013,2026-07-05T08:35:00.387,910,REL91019013,UOVBSGSG,CITIUS33,**************4976,USD,439.66,/BNF/KUMAR CHUA,mt,**************3350,JIDYF NNYDQD,OCBCSGSG
REF00000676790,2026-07-03T03:42:27.265,910,REL34760573,OCBCSGSG,CITIUS33,**************2647,SGD,120.62,/BNF/AISHA IYER,mt,**************8280,PMVIU GLDWWZ,DBSSSGSG
REF00000465098,2026-07-07T07:29:54.455,910,REL02932685,DBSSSGSG,HSBCGB2L,**************6582,SGD,1049.51,/BNF/HAKIM ONG,mt,**************2806,FSIEX KZZOXC,OCBCSGSG
REF00000161508,2026-07-03T08:15:09.507,910,REL04305596,UOVBSGSG,MAYBMYKL,**************0416,USD,5083.97,/BNF/ARUN ONG,mt,**************0260,CMGBJ ZBHQCZ,OCBCSGSG
REF00000620412,2026-07-11T07:43:49.841,910,REL31587157,OCBCSGSG,CITIUS33,**************6394,SGD,626.68,/BNF/SITI ONG,mt,**************9021,WKJOC SICWNG,UOVBSGSG
REF00000559595,2026-07-01T20:03:44.376,910,REL64727582,OCBCSGSG,HSBCGB2L,**************8308,MYR,763.34,/BNF/MARCUS KRISHNAN,mt,**************5305,DMGWO QHZLGQ,DBSSSGSG
REF00000537591,2026-07-03T08:09:21.532,910,REL05607274,DBSSSGSG,MAYBMYKL,**************1057,SGD,843.6,/BNF/ARUN IYER,mt,**************8391,WNFSG JBLREP,UOVBSGSG
REF00000298598,2026-07-06T03:00:03.719,910,REL73217186,DBSSSGSG,MAYBMYKL,**************2445,USD,7127.6,/BNF/AISHA IYER,mt,**************9328,YRPKE EBTFER,OCBCSGSG
REF00000486736,2026-07-08T00:50:45.562,910,REL15824782,OCBCSGSG,HSBCGB2L,**************8564,MYR,1230.59,/BNF/ELAINE GOH,mt,**************2572,CWKFA VVBUCY,UOVBSGSG
