_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,28C,_format,60F_dc,60F_ccy,60F_amount,61,86,61#2,86#2,61#3,86#3,61#4,86#4,62F_dc,62F_ccy,62F_amount
BYEB10170188,2026-07-13T21:45:01.121,940,REL35726793,DBSSSGSG,HSBCGB2L,**************5101,212/1,mt,C,SGD,10009.6,"2607010719C343,98NTRFNONREF",/REF/E2E36205584/ FEET,"2607010719C232,79NTRFNONREF",/REF/E2E56128061/ RENS,,,,,C,SGD,41355.28
MPAH31673259,2026-07-02T23:38:02.386,940,REL13615941,DBSSSGSG,HSBCGB2L,**************1426,234/1,mt,C,USD,18438.19,"2607050707D642,70NTRFNONREF",/REF/E2E10619901/ FEET,,,,,,,C,USD,72660.06
IPOI48802372,2026-07-02T08:30:59.661,940,REL46472758,OCBCSGSG,MAYBMYKL,**************3209,219/1,mt,C,SGD,10794.84,"2607180718D629,57NTRFNONREF",/REF/E2E73158715/ RENT,,,"2607180706D415,08NTRFNONREF",/REF/E2E82836166/ REES,,,C,MYR,62344.56
ZLXK11213751,2026-07-04T23:09:49.981,940,REL89641278,OCBCSGSG,HSBCGB2L,**************1036,337/1,mt,C,SGD,65808.46,"2607050706D265,89NTRFNONREF",/REF/E2E92421912/ FENT,,,"2607030701D273,00NTRFNONREF",/REF/E2E20026032/ RENS,,,C,EUR,30598.52
AZGB70183579,2026-07-05T16:57:49.902,940,REL56039583,OCBCSGSG,MAYBMYKL,**************7997,276/1,mt,C,EUR,19049.32,"2607160710C564,10NTRFNONREF",/REF/E2E23428940/ FEET,"2607080705C307,51NTRFNONREF",/REF/E2E88672944/ FENT,"2607050707D429,89NTRFNONREF",/REF/E2E68631509/ FENT,,,C,SGD,185065.83
WTPF19673740,2026-07-09T21:36:50.539,940,REL34596063,OCBCSGSG,CITIUS33,**************9345,35/1,mt,C,SGD,17728.69,"2607110704C380,74NTRFNONREF",/REF/E2E25585127/ FEES,"2607030701C703,40NTRFNONREF",/REF/E2E68696602/ REES,"2607100702C260,68NTRFNONREF",/REF/E2E68111130/ REET,"2607130711D352,50NTRFNONREF",/REF/E2E57503604/ FENS,C,SGD,61878.58
KDGQ73495855,2026-07-07T15:59:34.082,940,REL04321427,UOVBSGSG,CITIUS33,**************9537,292/1,mt,C,SGD,7345.87,"2607020701C770,73NTRFNONREF",/REF/E2E53240861/ REET,,,"2607080718C780,34NTRFNONREF",/REF/E2E11574943/ RENS,,,C,USD,5666.33
JEMJ98329830,2026-07-05T06:28:37.387,940,REL02652166,UOVBSGSG,MAYBMYKL,**************7857,114/1,mt,C,SGD,97407.65,"2607120716D236,21NTRFNONREF",/REF/E2E24434759/ FENT,"2607120703C449,07NTRFNONREF",/REF/E2E84600900/ FEES,,,,,C,SGD,11998.8
NVDM76541745,2026-07-04T20:51:26.859,940,REL35959154,OCBCSGSG,CITIUS33,**************2160,113/1,mt,C,EUR,5657.97,"2607150718C203,42NTRFNONREF",/REF/E2E22595425/ FEET,,,"2607150710D164,85NTRFNONREF",/REF/E2E02094216/ RENT,,,C,MYR,38483.5
AIQV39804482,2026-07-13T11:29:35.154,940,REL59063221,UOVBSGSG,CITIUS33,**************5962,298/1,mt,C,USD,37686.9,"2607140702D860,35NTRFNONREF",/REF/E2E05720620/ REET,"2607000709C617,00NTRFNONREF",/REF/E2E43595028/ FENS,,,,,C,SGD,12649.82
AGYO94620118,2026-07-10T23:19:52.576,940,REL99105787,UOVBSGSG,MAYBMYKL,**************9236,251/1,mt,C,USD,5801.53,"2607080702C543,28NTRFNONREF",/REF/E2E38495328/ FENS,,,,,"2607150701C371,52NTRFNONREF",/REF/E2E61289788/ REET,C,USD,5422.95
GZRA80026214,2026-07-05T20:50:35.130,940,REL03969450,DBSSSGSG,HSBCGB2L,**************4515,55/1,mt,C,SGD,5079.37,"2607180717C592,81NTRFNONREF",/REF/E2E40632947/ FENS,"2607100703D525,56NTRFNONREF",/REF/E2E74315477/ FEET,"2607110712D863,30NTRFNONREF",/REF/E2E60239432/ FENT,,,C,SGD,460.96
BXNA66396847,2026-07-01T16:08:47.878,940,REL82991086,DBSSSGSG,CITIUS33,**************6706,256/1,mt,C,MYR,9814.27,"2607100714D930,89NTRFNONREF",/REF/E2E84965987/ FEES,"2607030717C974,70NTRFNONREF",/REF/E2E52347705/ RENS,"2607090713C329,69NTRFNONREF",/REF/E2E18865412/ FENT,,,C,EUR,76534.65
SNUW61821261,2026-07-08T05:28:52.012,940,REL56551443,DBSSSGSG,HSBCGB2L,**************5668,3/1,mt,C,SGD,32245.31,"2607130717C857,18NTRFNONREF",/REF/E2E10148409/ FEET,"2607180715D365,69NTRFNONREF",/REF/E2E36095334/ REET,"2607090718C886,71NTRFNONREF",/REF/E2E48534804/ FEES,"2607090717C232,07NTRFNONREF",/REF/E2E30880002/ REET,C,SGD,11968.7
HKPX49906007,2026-07-05T12:43:55.960,940,REL91962254,UOVBSGSG,CITIUS33,**************3061,331/1,mt,C,SGD,29322.88,"2607150711D706,23NTRFNONREF",/REF/E2E67134658/ REES,"2607180710C130,74NTRFNONREF",/REF/E2E83955670/ FEET,"2607120700C623,23NTRFNONREF",/REF/E2E82192678/ FENS,"2607080713D430,45NTRFNONREF",/REF/E2E34602085/ FENS,C,USD,28757.0
OPBE47228238,2026-07-12T05:28:40.392,940,REL03657486,OCBCSGSG,HSBCGB2L,**************6900,82/1,mt,C,USD,24301.09,"2607010715D519,52NTRFNONREF",/REF/E2E40067787/ REES,"2607040719C346,30NTRFNONREF",/REF/E2E70168853/ FEES,,,"2607160712D130,13NTRFNONREF",/REF/E2E03996933/ FEES,C,MYR,27067.87
SJHJ06420429,2026-07-01T08:15:58.221,940,REL35923310,OCBCSGSG,CITIUS33,**************7537,68/1,mt,C,USD,17680.31,"2607030711C264,70NTRFNONREF",/REF/E2E55320320/ REES,"2607100703D176,40NTRFNONREF",/REF/E2E66359890/ FENS,,,,,C,USD,8532.48
EOOL75365560,2026-07-03T17:59:38.935,940,REL27726936,UOVBSGSG,HSBCGB2L,**************9130,171/1,mt,C,USD,10124.0,"2607180713C390,04NTRFNONREF",/REF/E2E71364974/ RENS,"2607000719C442,14NTRFNONREF",/REF/E2E01038694/ REET,"2607100704D613,91NTRFNONREF",/REF/E2E84995941/ FENT,,,C,SGD,19713.04
GKSZ64479752,2026-07-02T04:22:48.885,940,REL09945028,OCBCSGSG,HSBCGB2L,**************6091,184/1,mt,C,USD,12856.66,"2607170715C708,18NTRFNONREF",/REF/E2E59293937/ REES,"2607120716C616,56NTRFNONREF",/REF/E2E74568465/ FEET,,,"2607180704D609,74NTRFNONREF",/REF/E2E50536734/ FENS,C,MYR,43950.53
TJSY06602522,2026-07-10T07:46:56.954,940,REL06914792,DBSSSGSG,MAYBMYKL,**************5528,206/1,mt,C,USD,33156.77,"2607120713C848,12NTRFNONREF",/REF/E2E82250471/ REES,,,,,,,C,SGD,86430.76
