_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,28C,_format,13D,34F,61,86,61#2,86#2,61#3,86#3,61#4,86#4,90D
BYEB10170188,2026-07-01T18:34:16.400,942,REL84699943,OCBCSGSG,HSBCGB2L,**************3798,268/1,mt,2607041027+0800,"MYR0,","2607190702C896,59NTRFNONREF",/REF/E2E13433422/ FENS,"2607120711D278,18NTRFNONREF",/REF/E2E91636205/ FEET,"2607150716C380,19NTRFNONREF",/REF/E2E91620510/ REES,,,"3USD2778,92"
OHOY75428967,2026-07-01T23:00:16.771,942,REL73421746,DBSSSGSG,CITIUS33,**************3544,290/1,mt,2607150941+0800,"USD0,","2607130704C623,97NTRFNONREF",/REF/E2E28280200/ REET,"2607100706D924,20NTRFNONREF",/REF/E2E83729101/ FEES,"2607130717D601,61NTRFNONREF",/REF/E2E63180741/ FEET,,,"3EGD5880,03"
JJRG12916056,2026-07-10T06:28:27.677,942,REL56324454,UOVBSGSG,CITIUS33,**************9328,106/1,mt,2607152245+0800,"SGD0,","2607070717C494,92NTRFNONREF",/REF/E2E87709248/ FENT,"2607090708D585,40NTRFNONREF",/REF/E2E11175105/ FENS,,,,,"4MGR2863,20"
KDUF87466995,2026-07-03T06:37:04.415,942,REL84324914,OCBCSGSG,HSBCGB2L,**************9483,345/1,mt,2607061820+0800,"SGD0,","2607010706D323,75NTRFNONREF",/REF/E2E59341991/ REES,"2607180717D608,79NTRFNONREF",/REF/E2E90619677/ FENS,,,,,"4ESR4353,58"
EXQE42764832,2026-07-08T02:29:37.086,942,REL33746039,OCBCSGSG,MAYBMYKL,**************5386,359/1,mt,2607070215+0800,"SGD0,","2607160702C413,28NTRFNONREF",/REF/E2E69923841/ RENS,"2607150704C149,06NTRFNONREF",/REF/E2E61965645/ REET,,,,,"4EGD2843,72"
DVNC82928734,2026-07-13T07:15:06.713,942,REL49639565,OCBCSGSG,HSBCGB2L,**************1667,52/1,mt,2607012549+0800,"SGD0,","2607040719D871,06NTRFNONREF",/REF/E2E60726017/ RENS,"2607150704D593,12NTRFNONREF",/REF/E2E52515046/ REET,"2607180712D131,23NTRFNONREF",/REF/E2E90868129/ REES,"2607000705D712,51NTRFNONREF",/REF/E2E40564352/ FEES,"2EGD5578,95"
HAJG48588668,2026-07-02T17:54:26.452,942,REL15265894,DBSSSGSG,MAYBMYKL,**************4131,98/1,mt,2607052012+0800,"USD0,","2607150704C375,67NTRFNONREF",/REF/E2E09947817/ FEET,"2607130708C125,05NTRFNONREF",/REF/E2E47113295/ FENS,,,,,"3UGD3432,24"
LLIT35333705,2026-07-07T10:27:51.966,942,REL19891505,UOVBSGSG,MAYBMYKL,**************9312,327/1,mt,2607021159+0800,"SGD0,","2607080713D951,13NTRFNONREF",/REF/E2E34192256/ RENT,,,"2607000718D444,62NTRFNONREF",/REF/E2E38515263/ FENT,,,"1EGD1178,41"
YMHQ39489746,2026-07-08T23:31:12.882,942,REL66305720,DBSSSGSG,MAYBMYKL,**************3110,171/1,mt,2607000515+0800,"SGD0,","2607180710D636,96NTRFNONREF",/REF/E2E96294306/ FENS,"2607040710C226,60NTRFNONREF",/REF/E2E80638109/ FEES,"2607130705C853,21NTRFNONREF",/REF/E2E09523014/ RENT,"2607070711D513,27NTRFNONREF",/REF/E2E33378666/ FEET,"2UYD6748,12"
JZRG51419982,2026-07-12T23:44:26.930,942,REL93515746,OCBCSGSG,MAYBMYKL,**************4386,273/1,mt,2607011130+0800,"SGD0,","2607000714D592,66NTRFNONREF",/REF/E2E74046140/ RENT,"2607180715D392,16NTRFNONREF",/REF/E2E04755128/ RENS,"2607000718D689,51NTRFNONREF",/REF/E2E66738495/ REES,,,"3UGR6240,92"
