_msg_id,_ts,_msg_type,BkToCstmrAcctRpt.GrpHdr.MsgId,BkToCstmrAcctRpt.GrpHdr.CreDtTm,BkToCstmrAcctRpt.Rpt.Id,BkToCstmrAcctRpt.Rpt.Acct.Id.Othr.Id,BkToCstmrAcctRpt.Rpt.Bal#1.Tp.CdOrPrtry.Cd,BkToCstmrAcctRpt.Rpt.Bal#1.Amt,BkToCstmrAcctRpt.Rpt.Bal#1.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Bal#1.CdtDbtInd,BkToCstmrAcctRpt.Rpt.Bal#2.Tp.CdOrPrtry.Cd,BkToCstmrAcctRpt.Rpt.Bal#2.Amt,BkToCstmrAcctRpt.Rpt.Bal#2.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Bal#2.CdtDbtInd,_ns,_format,BkToCstmrAcctRpt.Rpt.Ntry#1.Amt,BkToCstmrAcctRpt.Rpt.Ntry#1.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Ntry#1.CdtDbtInd,BkToCstmrAcctRpt.Rpt.Ntry#1.Sts.Cd,BkToCstmrAcctRpt.Rpt.Ntry#1.BookgDt.Dt,BkToCstmrAcctRpt.Rpt.Ntry#1.AcctSvcrRef,BkToCstmrAcctRpt.Rpt.Ntry#1.AddtlNtryInf,BkToCstmrAcctRpt.Rpt.Ntry#2.Amt,BkToCstmrAcctRpt.Rpt.Ntry#2.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Ntry#2.CdtDbtInd,BkToCstmrAcctRpt.Rpt.Ntry#2.Sts.Cd,BkToCstmrAcctRpt.Rpt.Ntry#2.BookgDt.Dt,BkToCstmrAcctRpt.Rpt.Ntry#2.AcctSvcrRef,BkToCstmrAcctRpt.Rpt.Ntry#2.AddtlNtryInf,BkToCstmrAcctRpt.Rpt.Ntry#3.Amt,BkToCstmrAcctRpt.Rpt.Ntry#3.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Ntry#3.CdtDbtInd,BkToCstmrAcctRpt.Rpt.Ntry#3.Sts.Cd,BkToCstmrAcctRpt.Rpt.Ntry#3.BookgDt.Dt,BkToCstmrAcctRpt.Rpt.Ntry#3.AcctSvcrRef,BkToCstmrAcctRpt.Rpt.Ntry#3.AddtlNtryInf,BkToCstmrAcctRpt.Rpt.Ntry#4.Amt,BkToCstmrAcctRpt.Rpt.Ntry#4.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Ntry#4.CdtDbtInd,BkToCstmrAcctRpt.Rpt.Ntry#4.Sts.Cd,BkToCstmrAcctRpt.Rpt.Ntry#4.BookgDt.Dt,BkToCstmrAcctRpt.Rpt.Ntry#4.AcctSvcrRef,BkToCstmrAcctRpt.Rpt.Ntry#4.AddtlNtryInf
BYEB10170188,2026-07-10T09:05:04.152,camt.052.001.08,********0081,***************9:36,*******0308,**************4916,ITBD,9268.72,SGD,CRDT,ITBD,10107.66,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,840.94,SGD,CRDT,BOOK,2026-07-07,********5384,SUPPLIER,114.53,SGD,CRDT,BOOK,2026-07-11,********0619,SUPPLIER,,,,,,,,434.97,USD,DBIT,BOOK,2026-07-08,ASR269987262,SUPPLIER
FGAF96820219,2026-07-06T20:47:09.722,camt.052.001.08,********0239,***************8:00,*******0161,**************0619,ITBD,30249.77,EUR,CRDT,ITBD,25498.61,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,167.34,SGD,CRDT,BOOK,2026-07-10,********3388,SALARY,3828.05,USD,DBIT,BOOK,2026-07-02,********7033,FEES,537.15,SGD,DBIT,BOOK,2026-07-04,********7542,FEES,,,,,,,
JRRB23722227,2026-07-07T21:42:53.917,camt.052.001.08,********0221,***************7:28,*******0090,**************1570,ITBD,55951.15,USD,CRDT,ITBD,13285.25,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,293.63,EUR,DBIT,BOOK,2026-07-01,********8308,SUPPLIER,187.03,USD,DBIT,BOOK,2026-07-05,********8361,RENT,234.91,SGD,DBIT,BOOK,2026-07-13,********2993,SALARY,,,,,,,
PLNE45249833,2026-07-01T08:35:07.336,camt.052.001.08,********0058,***************4:06,*******0021,**************2835,ITBD,13885.27,SGD,CRDT,ITBD,11252.98,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,115.77,SGD,DBIT,BOOK,2026-07-06,********9341,SALARY,540.49,SGD,CRDT,BOOK,2026-07-09,********2207,FEES,,,,,,,,,,,,,,
GOMP55085797,2026-07-12T08:30:40.330,camt.052.001.08,********0255,***************9:14,*******0388,**************1415,ITBD,2370.28,SGD,CRDT,ITBD,20729.87,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,2021.94,MYR,DBIT,BOOK,2026-07-05,********3411,FEES,1019.18,SGD,DBIT,BOOK,2026-07-10,********0350,RENT,,,,,,,,,,,,,,
UFFU90713122,2026-07-13T02:42:23.293,camt.052.001.08,********0190,***************3:59,*******0045,**************3595,ITBD,17574.69,SGD,CRDT,ITBD,22730.89,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,958.24,MYR,CRDT,BOOK,2026-07-02,********9972,FEES,59.51,USD,DBIT,BOOK,2026-07-03,********1699,SUPPLIER,605.0,USD,CRDT,BOOK,2026-07-01,********8164,FEES,,,,,,,
KYCL04687559,2026-07-12T12:08:03.721,camt.052.001.08,********0371,***************5:04,*******0191,**************7908,ITBD,42592.79,SGD,CRDT,ITBD,18884.1,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,271.32,SGD,CRDT,BOOK,2026-07-06,********7428,SUPPLIER,277.33,MYR,DBIT,BOOK,2026-07-12,********0564,SALARY,152.47,SGD,DBIT,BOOK,2026-07-13,********9455,SALARY,1014.23,USD,DBIT,BOOK,2026-07-06,ASR349749639,SUPPLIER
WFSF41244275,2026-07-05T18:29:46.448,camt.052.001.08,********0195,***************2:10,*******0178,**************7994,ITBD,3880.68,MYR,CRDT,ITBD,44654.39,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,543.98,USD,DBIT,BOOK,2026-07-13,********6765,SUPPLIER,172.52,SGD,CRDT,BOOK,2026-07-04,********0805,SUPPLIER,246.08,MYR,CRDT,BOOK,2026-07-07,********6352,FEES,,,,,,,
MCLT95385575,2026-07-13T19:17:39.500,camt.052.001.08,********0233,***************2:03,*******0247,**************4193,ITBD,6341.15,SGD,CRDT,ITBD,4787.14,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,50.71,SGD,CRDT,BOOK,2026-07-11,********1526,SALARY,1193.95,SGD,DBIT,BOOK,2026-07-03,********4048,INVOICE,270.76,SGD,DBIT,BOOK,2026-07-02,********7771,FEES,584.71,SGD,CRDT,BOOK,2026-07-14,ASR369407741,SUPPLIER
TBIA75645669,2026-07-02T19:21:23.212,camt.052.001.08,********0298,***************3:52,*******0049,**************4573,ITBD,22719.09,SGD,CRDT,ITBD,12510.97,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,594.65,EUR,DBIT,BOOK,2026-07-01,********7535,FEES,382.94,USD,DBIT,BOOK,2026-07-10,********2711,INVOICE,244.86,SGD,CRDT,BOOK,2026-07-07,********6421,SALARY,,,,,,,
