_msg_id,_ts,_msg_type,BkToCstmrStmt.GrpHdr.MsgId,BkToCstmrStmt.GrpHdr.CreDtTm,BkToCstmrStmt.Stmt.Id,BkToCstmrStmt.Stmt.Acct.Id.Othr.Id,BkToCstmrStmt.Stmt.Bal#1.Tp.CdOrPrtry.Cd,BkToCstmrStmt.Stmt.Bal#1.Amt,BkToCstmrStmt.Stmt.Bal#1.Amt@Ccy,BkToCstmrStmt.Stmt.Bal#1.CdtDbtInd,BkToCstmrStmt.Stmt.Bal#2.Tp.CdOrPrtry.Cd,BkToCstmrStmt.Stmt.Bal#2.Amt,BkToCstmrStmt.Stmt.Bal#2.Amt@Ccy,BkToCstmrStmt.Stmt.Bal#2.CdtDbtInd,_ns,_format,BkToCstmrStmt.Stmt.Ntry#1.Amt,BkToCstmrStmt.Stmt.Ntry#1.Amt@Ccy,BkToCstmrStmt.Stmt.Ntry#1.CdtDbtInd,BkToCstmrStmt.Stmt.Ntry#1.Sts.Cd,BkToCstmrStmt.Stmt.Ntry#1.BookgDt.Dt,BkToCstmrStmt.Stmt.Ntry#1.AcctSvcrRef,BkToCstmrStmt.Stmt.Ntry#1.AddtlNtryInf,BkToCstmrStmt.Stmt.Ntry#2.Amt,BkToCstmrStmt.Stmt.Ntry#2.Amt@Ccy,BkToCstmrStmt.Stmt.Ntry#2.CdtDbtInd,BkToCstmrStmt.Stmt.Ntry#2.Sts.Cd,BkToCstmrStmt.Stmt.Ntry#2.BookgDt.Dt,BkToCstmrStmt.Stmt.Ntry#2.AcctSvcrRef,BkToCstmrStmt.Stmt.Ntry#2.AddtlNtryInf,BkToCstmrStmt.Stmt.Ntry#3.Amt,BkToCstmrStmt.Stmt.Ntry#3.Amt@Ccy,BkToCstmrStmt.Stmt.Ntry#3.CdtDbtInd,BkToCstmrStmt.Stmt.Ntry#3.Sts.Cd,BkToCstmrStmt.Stmt.Ntry#3.BookgDt.Dt,BkToCstmrStmt.Stmt.Ntry#3.AcctSvcrRef,BkToCstmrStmt.Stmt.Ntry#3.AddtlNtryInf,BkToCstmrStmt.Stmt.Ntry#4.Amt,BkToCstmrStmt.Stmt.Ntry#4.Amt@Ccy,BkToCstmrStmt.Stmt.Ntry#4.CdtDbtInd,BkToCstmrStmt.Stmt.Ntry#4.Sts.Cd,BkToCstmrStmt.Stmt.Ntry#4.BookgDt.Dt,BkToCstmrStmt.Stmt.Ntry#4.AcctSvcrRef,BkToCstmrStmt.Stmt.Ntry#4.AddtlNtryInf
STMT00000362,2026-07-10T18:01:05.756,camt.053.001.08,STMT00000150,2026-07-14T19:22:43,STMT00000062,**************7559,OPBD,16727.34,USD,CRDT,CLBD,41608.97,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,298.8,SGD,DBIT,BOOK,2026-07-08,********5102,RENT,34.5,SGD,DBIT,BOOK,2026-07-08,********9446,INVOICE,219.43,SGD,DBIT,BOOK,2026-07-13,********9846,SUPPLIER,314.86,EUR,CRDT,BOOK,2026-07-04,ASR830401198,FEES
STMT00000008,2026-07-06T20:20:28.177,camt.053.001.08,STMT00000231,2026-07-01T06:10:42,STMT00000088,**************2515,OPBD,28087.53,SGD,CRDT,CLBD,74995.89,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,117.85,SGD,DBIT,BOOK,2026-07-10,********9606,INVOICE,239.57,EUR,CRDT,BOOK,2026-07-03,********7986,RENT,428.68,MYR,DBIT,BOOK,2026-07-08,********4988,SUPPLIER,,,,,,,
STMT00000071,2026-07-13T14:13:10.703,camt.053.001.08,STMT00000009,2026-07-12T17:44:04,STMT00000345,**************3298,OPBD,31972.57,SGD,CRDT,CLBD,7347.8,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,419.3,USD,DBIT,BOOK,2026-07-13,********1916,FEES,652.58,USD,CRDT,BOOK,2026-07-02,********3295,FEES,,,,,,,,,,,,,,
STMT00000142,2026-07-09T03:30:33.619,camt.053.001.08,STMT00000214,2026-07-11T01:45:09,STMT00000078,**************1571,OPBD,15167.08,SGD,CRDT,CLBD,24991.47,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,160.44,EUR,CRDT,BOOK,2026-07-08,********5005,SALARY,220.43,USD,CRDT,BOOK,2026-07-09,********8829,SALARY,,,,,,,,796.11,SGD,DBIT,BOOK,2026-07-03,ASR711825968,SALARY
STMT00000333,2026-07-01T12:32:24.683,camt.053.001.08,STMT00000036,2026-07-12T22:28:26,STMT00000077,**************0331,OPBD,9592.16,SGD,CRDT,CLBD,6106.0,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,180.23,SGD,DBIT,BOOK,2026-07-06,********7805,RENT,467.71,SGD,DBIT,BOOK,2026-07-03,********0555,INVOICE,297.15,SGD,DBIT,BOOK,2026-07-08,********8202,SUPPLIER,,,,,,,
STMT00000314,2026-07-07T11:29:57.036,camt.053.001.08,STMT00000239,2026-07-03T06:41:14,STMT00000313,**************8074,OPBD,27689.39,USD,CRDT,CLBD,115962.81,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,14954.71,SGD,CRDT,BOOK,2026-07-11,********5428,RENT,670.77,SGD,CRDT,BOOK,2026-07-07,********0536,SUPPLIER,84.31,SGD,DBIT,BOOK,2026-07-05,********0134,INVOICE,,,,,,,
STMT00000024,2026-07-01T11:33:02.403,camt.053.001.08,STMT00000240,2026-07-14T21:12:42,STMT00000280,**************8165,OPBD,4272.1,SGD,CRDT,CLBD,33648.03,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,2022.15,SGD,CRDT,BOOK,2026-07-01,********3274,SUPPLIER,197.35,USD,DBIT,BOOK,2026-07-13,********4059,RENT,632.92,SGD,CRDT,BOOK,2026-07-01,********5824,INVOICE,,,,,,,
STMT00000230,2026-07-13T00:58:14.816,camt.053.001.08,STMT00000302,2026-07-07T06:31:27,STMT00000212,**************9069,OPBD,35014.0,USD,CRDT,CLBD,8117.54,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,782.09,SGD,CRDT,BOOK,2026-07-14,********7744,SALARY,119.54,SGD,CRDT,BOOK,2026-07-01,********2993,FEES,244.04,SGD,DBIT,BOOK,2026-07-06,********7884,INVOICE,,,,,,,
STMT00000327,2026-07-11T02:10:23.338,camt.053.001.08,STMT00000375,2026-07-06T10:53:51,STMT00000156,**************6156,OPBD,8447.09,USD,CRDT,CLBD,7162.18,EUR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,353.28,SGD,DBIT,BOOK,2026-07-01,********8308,INVOICE,1019.2,MYR,CRDT,BOOK,2026-07-12,********5783,SUPPLIER,,,,,,,,582.54,SGD,CRDT,BOOK,2026-07-10,ASR591863724,RENT
STMT00000152,2026-07-02T09:16:57.575,camt.053.001.08,STMT00000275,2026-07-10T17:57:34,STMT00000065,**************2118,OPBD,103192.14,MYR,CRDT,CLBD,14385.27,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,275.24,USD,DBIT,BOOK,2026-07-08,********2923,FEES,1563.91,SGD,CRDT,BOOK,2026-07-10,********6245,RENT,5539.15,SGD,CRDT,BOOK,2026-07-09,********3961,SALARY,300.93,SGD,CRDT,BOOK,2026-07-11,ASR709539189,SUPPLIER
STMT00000157,2026-07-11T02:13:46.781,camt.053.001.08,STMT00000292,2026-07-02T16:32:25,STMT00000100,**************1171,OPBD,10186.95,SGD,CRDT,CLBD,2030.99,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,48.75,USD,DBIT,BOOK,2026-07-07,********8953,INVOICE,447.86,USD,CRDT,BOOK,2026-07-05,********4424,RENT,135.87,SGD,DBIT,BOOK,2026-07-06,********3896,RENT,113.96,SGD,DBIT,BOOK,2026-07-11,ASR377305332,FEES
STMT00000367,2026-07-08T10:51:06.965,camt.053.001.08,STMT00000369,2026-07-04T23:23:59,STMT00000319,**************4313,OPBD,52008.11,USD,CRDT,CLBD,3822.28,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,123.75,SGD,CRDT,BOOK,2026-07-03,********3909,INVOICE,529.28,USD,DBIT,BOOK,2026-07-11,********3249,SUPPLIER,,,,,,,,4865.3,MYR,DBIT,BOOK,2026-07-01,ASR082039126,SUPPLIER
STMT00000293,2026-07-11T22:23:19.873,camt.053.001.08,STMT00000208,2026-07-07T22:12:58,STMT00000209,**************5524,OPBD,27880.41,SGD,CRDT,CLBD,16010.01,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,181.63,SGD,DBIT,BOOK,2026-07-04,********7012,FEES,271.1,USD,CRDT,BOOK,2026-07-07,********7894,FEES,1891.71,USD,DBIT,BOOK,2026-07-12,********6257,INVOICE,383.52,EUR,CRDT,BOOK,2026-07-08,ASR811113141,RENT
STMT00000253,2026-07-13T14:19:28.708,camt.053.001.08,STMT00000293,2026-07-03T01:33:52,STMT00000360,**************3613,OPBD,13103.17,USD,CRDT,CLBD,12063.28,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,1465.73,SGD,DBIT,BOOK,2026-07-02,********0581,SALARY,545.25,USD,DBIT,BOOK,2026-07-14,********9433,SALARY,2378.03,USD,CRDT,BOOK,2026-07-02,********4923,FEES,620.85,MYR,CRDT,BOOK,2026-07-06,ASR510216066,RENT
STMT00000176,2026-07-01T09:13:23.357,camt.053.001.08,STMT00000198,2026-07-07T00:23:52,STMT00000026,**************3122,OPBD,15962.94,MYR,CRDT,CLBD,21976.67,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,292.5,USD,DBIT,BOOK,2026-07-04,********4596,INVOICE,3973.25,SGD,CRDT,BOOK,2026-07-09,********9923,SALARY,350.54,USD,DBIT,BOOK,2026-07-01,********2233,RENT,,,,,,,
STMT00000277,2026-07-13T06:55:51.188,camt.053.001.08,STMT00000219,2026-07-01T16:13:29,STMT00000190,**************0768,OPBD,7217.35,SGD,CRDT,CLBD,6543.65,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,200.91,USD,DBIT,BOOK,2026-07-08,********6045,RENT,349.96,SGD,CRDT,BOOK,2026-07-01,********9550,INVOICE,,,,,,,,224.73,USD,DBIT,BOOK,2026-07-04,ASR686419951,FEES
