_msg_id,_ts,_msg_type,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.CdtDbtInd,BkToCstmrDbtCdtNtfctn.GrpHdr.MsgId,BkToCstmrDbtCdtNtfctn.GrpHdr.CreDtTm,BkToCstmrDbtCdtNtfctn.Ntfctn.Id,BkToCstmrDbtCdtNtfctn.Ntfctn.Acct.Id.Othr.Id,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.Amt,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.Amt@Ccy,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.Sts.Cd,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.BookgDt.Dt,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.NtryDtls.TxDtls.Refs.EndToEndId,_ns,_format
NTFN00000762,2026-07-13T07:54:43.709,camt.054.001.08,CRDT,NTFN00000411,2026-07-02T02:08:37,NTF00000047,**************4686,6532.95,USD,BOOK,2026-07-02,REF00000661099,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000205,2026-07-05T16:42:19.989,camt.054.001.08,DBIT,NTFN00000525,2026-07-14T06:14:08,NTF00000463,**************9205,2111.15,SGD,BOOK,2026-07-04,REF00000343526,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000359,2026-07-12T10:27:03.413,camt.054.001.08,CRDT,NTFN00000369,2026-07-10T03:25:53,NTF00000475,**************8307,206.91,SGD,BOOK,2026-07-03,REF00000152487,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000075,2026-07-02T18:11:10.848,camt.054.001.08,CRDT,NTFN00000575,2026-07-02T17:22:56,NTF00000018,**************5612,1553.13,SGD,BOOK,2026-07-02,REF00000362055,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000620,2026-07-04T18:43:12.551,camt.054.001.08,DBIT,NTFN00000221,2026-07-11T21:24:46,NTF00000098,**************9645,1619.43,SGD,BOOK,2026-07-11,REF00000384699,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000716,2026-07-11T01:23:48.008,camt.054.001.08,CRDT,NTFN00000514,2026-07-04T15:55:10,NTF00000342,**************0579,1418.99,SGD,BOOK,2026-07-08,REF00000441598,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000427,2026-07-11T14:04:37.528,camt.054.001.08,DBIT,NTFN00000292,2026-07-02T15:11:12,NTF00000144,**************1571,1772.45,SGD,BOOK,2026-07-13,REF00000478470,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000271,2026-07-06T16:08:31.192,camt.054.001.08,CRDT,NTFN00000672,2026-07-11T13:45:28,NTF00000555,**************1061,1436.61,SGD,BOOK,2026-07-02,REF00000034527,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000600,2026-07-05T16:50:56.369,camt.054.001.08,DBIT,NTFN00000280,2026-07-11T04:12:34,NTF00000167,**************3840,407.66,SGD,BOOK,2026-07-04,REF00000649614,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000542,2026-07-07T19:32:37.750,camt.054.001.08,CRDT,NTFN00000689,2026-07-09T13:19:47,NTF00000153,**************9417,482.41,SGD,BOOK,2026-07-09,REF00000341176,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
