_msg_id,_ts,_msg_type,FIToFICstmrCdtTrf.CdtTrfTxInf.IntrBkSttlmAmt@Ccy,FIToFICstmrCdtTrf.GrpHdr.MsgId,FIToFICstmrCdtTrf.GrpHdr.CreDtTm,FIToFICstmrCdtTrf.GrpHdr.NbOfTxs,FIToFICstmrCdtTrf.GrpHdr.SttlmInf.SttlmMtd,FIToFICstmrCdtTrf.CdtTrfTxInf.PmtId.EndToEndId,FIToFICstmrCdtTrf.CdtTrfTxInf.PmtId.UETR,FIToFICstmrCdtTrf.CdtTrfTxInf.IntrBkSttlmAmt,FIToFICstmrCdtTrf.CdtTrfTxInf.ChrgBr,FIToFICstmrCdtTrf.CdtTrfTxInf.Dbtr.Nm,FIToFICstmrCdtTrf.CdtTrfTxInf.DbtrAcct.Id.Othr.Id,FIToFICstmrCdtTrf.CdtTrfTxInf.DbtrAgt.FinInstnId.BICFI,FIToFICstmrCdtTrf.CdtTrfTxInf.Cdtr.Nm,FIToFICstmrCdtTrf.CdtTrfTxInf.CdtrAcct.Id.Othr.Id,FIToFICstmrCdtTrf.CdtTrfTxInf.CdtrAgt.FinInstnId.BICFI,FIToFICstmrCdtTrf.CdtTrfTxInf.RmtInf.Ustrd,_format
MSG00000627622,2026-07-06T11:05:19.006,pacs.008.001.08,SGD,MSG00000163298,2026-07-05T01:15:38,1,CLRG,REF00000336143,e302123b-000b-e425-0f72-221829fb876e,1453.62,SLEV,QVAQC AK,**************6190,UOVBSGSG,EWPVM FBCSPFCR,**************1631,CITIUS33,INVOICE 42192,mx
MSG00000672869,2026-07-01T14:05:52.247,pacs.008.001.08,MYR,MSG00000691130,2026-07-10T05:50:12,1,CLRG,REF00000212303,640b349e-d815-494e-cbfa-f1f5ee9835dd,163.04,SLEV,YDQDP MV,**************1099,DBSSSGSG,IUGLD WWZFSIEX,**************0537,HSBCGB2L,INVOICE 47593,mx
MSG00000695795,2026-07-08T13:32:39.725,pacs.008.001.08,MYR,MSG00000543569,2026-07-04T09:57:50,1,CLRG,REF00000776256,ae22c619-72a9-282d-3c6e-b6d5691b4ffa,438.09,SLEV,EEBTF ER,**************9963,OCBCSGSG,CWKFA VVBUCYZE,**************5012,CITIUS33,INVOICE 54378,mx
MSG00000016377,2026-07-14T13:06:31.725,pacs.008.001.08,MYR,MSG00000581166,2026-07-02T16:16:54,1,CLRG,REF00000062467,61dca6c8-da42-8dc8-c869-1be7f5c902fc,392.68,SLEV,JNVPF MU,**************8741,DBSSSGSG,PFJSL UTLGFQSO,**************2802,MAYBMYKL,INVOICE 99037,mx
MSG00000785870,2026-07-03T05:44:33.972,pacs.008.001.08,MYR,MSG00000191114,2026-07-07T15:10:23,1,CLRG,REF00000276871,f0e30bf2-ab99-9682-aaae-2378b40c1164,1090.8,SLEV,KQLNQ CY,**************8552,UOVBSGSG,JIWPS HLQCUZAV,**************7146,CITIUS33,INVOICE 53780,mx
MSG00000162649,2026-07-13T06:32:29.983,pacs.008.001.08,SGD,MSG00000005125,2026-07-02T13:03:57,1,CLRG,REF00000784051,a75ff424-5ca4-1b2b-12a7-bcf10e29da4f,1641.42,SHAR,VYUHW ZA,**************3130,UOVBSGSG,XLSLN FCUAGYGT,**************1350,MAYBMYKL,INVOICE 63468,mx
MSG00000400473,2026-07-14T15:20:35.228,pacs.008.001.08,SGD,MSG00000793638,2026-07-09T06:34:03,1,CLRG,REF00000061691,4481ebb9-db79-a831-b5a9-85e50d76e85b,1553.64,SLEV,XSNQP YT,**************4880,UOVBSGSG,SPPQO XXZXLTDW,**************7356,MAYBMYKL,INVOICE 43807,mx
MSG00000150102,2026-07-11T01:07:02.187,pacs.008.001.08,SGD,MSG00000155249,2026-07-14T01:04:12,1,CLRG,REF00000337180,c43ff348-2ac9-c6fe-e3e2-65a5c86805a3,1413.0,SLEV,BBZVI NK,**************6361,DBSSSGSG,KJSNW SVFMMAJT,**************7903,CITIUS33,INVOICE 32248,mx
MSG00000032914,2026-07-08T04:40:21.644,pacs.008.001.08,SGD,MSG00000399975,2026-07-10T00:35:33,1,CLRG,REF00000336351,9a746eed-8dc8-a795-d517-6de0c2227cfc,420.89,SLEV,YZHWJ QK,**************4269,DBSSSGSG,QQOZV VCJZYAZQ,**************7806,MAYBMYKL,INVOICE 54336,mx
MSG00000620649,2026-07-07T06:25:55.880,pacs.008.001.08,USD,MSG00000309928,2026-07-03T00:09:35,1,CLRG,REF00000168648,544cd549-fa48-f8a5-e7e7-8484c6646ad0,196.75,SHAR,QLGUH RA,**************6690,OCBCSGSG,ALOHV YANNPNKU,**************8106,MAYBMYKL,INVOICE 08195,mx
