_msg_id,_ts,_msg_type,FIToFICstmrCdtTrf.CdtTrfTxInf.IntrBkSttlmAmt@Ccy,FIToFICstmrCdtTrf.GrpHdr.MsgId,FIToFICstmrCdtTrf.GrpHdr.CreDtTm,FIToFICstmrCdtTrf.GrpHdr.NbOfTxs,FIToFICstmrCdtTrf.GrpHdr.SttlmInf.SttlmMtd,FIToFICstmrCdtTrf.CdtTrfTxInf.PmtId.EndToEndId,FIToFICstmrCdtTrf.CdtTrfTxInf.PmtId.UETR,FIToFICstmrCdtTrf.CdtTrfTxInf.IntrBkSttlmAmt,FIToFICstmrCdtTrf.CdtTrfTxInf.ChrgBr,FIToFICstmrCdtTrf.CdtTrfTxInf.Dbtr.Nm,FIToFICstmrCdtTrf.CdtTrfTxInf.DbtrAcct.Id.Othr.Id,FIToFICstmrCdtTrf.CdtTrfTxInf.DbtrAgt.FinInstnId.BICFI,FIToFICstmrCdtTrf.CdtTrfTxInf.Cdtr.Nm,FIToFICstmrCdtTrf.CdtTrfTxInf.CdtrAcct.Id.Othr.Id,FIToFICstmrCdtTrf.CdtTrfTxInf.CdtrAgt.FinInstnId.BICFI,FIToFICstmrCdtTrf.CdtTrfTxInf.RmtInf.Ustrd,_ns,_format
MSG00000788762,2026-07-06T07:10:17.457,pacs.008.001.08,SGD,MSG00000575594,2026-07-05T19:49:23,1,CLRG,REF00000525594,e302123b-000b-e425-0f72-221829fb876e,390.44,SHAR,QVAQC AKEW,**************6610,UOVBSGSG,PVMF BCSP,**************6494,MAYBMYKL,INVOICE 46484,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000119553,2026-07-12T04:54:10.413,pacs.008.001.08,MYR,MSG00000251566,2026-07-06T23:38:38,1,CLRG,REF00000205798,52640b34-e1d8-5849-e1cb-aef1f5ee9835,545.98,SLEV,NNYDQ DPMV,**************0071,UOVBSGSG,IUGL DWWZ,**************1812,HSBCGB2L,INVOICE 50020,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000163620,2026-07-11T04:46:15.574,pacs.008.001.08,SGD,MSG00000071607,2026-07-10T19:53:16,1,CLRG,REF00000042052,584ae22c-1917-a9e2-2d63-6e7b6d5691b4,1357.87,SLEV,PYRPK EEBT,**************6269,UOVBSGSG,FERC WKFA,**************4329,HSBCGB2L,INVOICE 63295,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000566713,2026-07-02T03:06:57.510,pacs.008.001.08,SGD,MSG00000137287,2026-07-02T06:37:19,1,CLRG,REF00000190059,12461dca-c89d-4288-c83c-69c1be7f5c90,945.21,SLEV,CPMJN VPFM,**************0784,UOVBSGSG,UPFJ SLUT,**************1239,MAYBMYKL,INVOICE 40766,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000363751,2026-07-07T05:40:27.359,pacs.008.001.08,MYR,MSG00000750649,2026-07-11T17:21:40,1,CLRG,REF00000685256,b65ef0e3-bf24-b99a-6826-aae82378b40c,672.55,SLEV,BVBGV EKQL,**************6003,OCBCSGSG,NQCY JIWP,**************0447,CITIUS33,INVOICE 01028,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000153909,2026-07-13T05:58:03.168,pacs.008.001.08,SGD,MSG00000033476,2026-07-06T13:16:33,1,CLRG,REF00000132746,7b20a75f-4247-ca4e-b2bd-2a76bcf10e29,516.4,SLEV,NKEPV YUHW,**************9763,OCBCSGSG,ZAXL SLNF,**************3505,HSBCGB2L,INVOICE 67904,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000554380,2026-07-12T10:28:04.179,pacs.008.001.08,MYR,MSG00000504305,2026-07-01T07:24:15,1,CLRG,REF00000331811,20664481-bb9c-b790-8316-5a9b85e50d76,1481.53,SLEV,OIXFL XSNQ,**************6582,UOVBSGSG,PYTS PPQO,**************2806,MAYBMYKL,INVOICE 61508,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000237222,2026-07-01T19:35:55.446,pacs.008.001.08,MYR,MSG00000353464,2026-07-13T20:04:21,1,CLRG,REF00000366315,b3c43ff3-872a-9bc6-eae3-2265a5c86805,292.86,SLEV,VKTDB BZVI,**************4728,OCBCSGSG,NKKJ SNWS,**************1902,MAYBMYKL,INVOICE 78955,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000519725,2026-07-04T12:54:04.113,pacs.008.001.08,USD,MSG00000732171,2026-07-05T17:17:32,1,CLRG,REF00000036563,5cc099a7-6eed-8dc8-a795-d517b6de0c22,491.43,SLEV,CHUMW PMYZ,**************1057,OCBCSGSG,HWJQ KQQO,**************8391,MAYBMYKL,INVOICE 92985,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000733593,2026-07-10T08:07:00.767,pacs.008.001.08,SGD,MSG00000452498,2026-07-13T12:55:05,1,CLRG,REF00000375152,290544cd-493f-48df-a52e-e728484c6646,3455.46,SHAR,KXVTN VAQL,**************5675,OCBCSGSG,GUHR AALO,**************8951,CITIUS33,INVOICE 17453,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000200260,2026-07-02T06:42:11.465,pacs.008.001.08,MYR,MSG00000717360,2026-07-13T17:54:30,1,CLRG,REF00000774424,70ddfda7-9f00-3e7c-61dc-d552b572c148,4234.54,SLEV,VQALQ BZIX,**************0533,OCBCSGSG,PYTS PPQO,**************7984,CITIUS33,INVOICE 99278,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000071571,2026-07-03T04:51:06.209,pacs.008.001.08,SGD,MSG00000136335,2026-07-13T16:42:42,1,CLRG,REF00000249145,01df0957-197e-585d-09a6-19f0d5da932d,315.47,SLEV,SKQWT BVZN,**************6196,DBSSSGSG,OQFM DRQK,**************6811,CITIUS33,INVOICE 78048,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000373451,2026-07-10T18:35:37.982,pacs.008.001.08,MYR,MSG00000380396,2026-07-08T14:09:13,1,CLRG,REF00000285763,63c2a42a-822e-b163-518c-1aa627390220,1481.26,SLEV,JRTLT VUNT,**************4238,DBSSSGSG,NKKJ SNWS,**************1875,CITIUS33,INVOICE 50307,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000686315,2026-07-01T01:07:19.889,pacs.008.001.08,SGD,MSG00000631604,2026-07-12T22:40:29,1,CLRG,REF00000549235,0ce262ba-cb30-4eb4-1851-f2db0da657d5,546.58,SLEV,UNWPU EMQV,**************8150,DBSSSGSG,PWSM JSII,**************2948,HSBCGB2L,INVOICE 91464,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000361395,2026-07-01T21:20:34.746,pacs.008.001.08,SGD,MSG00000101184,2026-07-06T11:16:47,1,CLRG,REF00000233746,4b489795-e18d-1b01-96fc-acd8e1a86a3c,2406.19,SHAR,NNYDQ DPMV,**************5645,DBSSSGSG,TLLN JMNV,**************5439,CITIUS33,INVOICE 28126,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000122853,2026-07-05T04:48:58.810,pacs.008.001.08,USD,MSG00000419951,2026-07-05T03:05:08,1,CLRG,REF00000219673,985eb651-e47c-bd87-ea35-5ce88e25ef11,845.69,SLEV,UJYGM ENTS,**************6045,OCBCSGSG,CGEJ LJFS,**************3781,MAYBMYKL,INVOICE 29032,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000602066,2026-07-07T16:18:24.888,pacs.008.001.08,USD,MSG00000344057,2026-07-03T18:31:28,1,CLRG,REF00000397435,df17fc35-3344-fb30-64ac-d9be72a169cb,1738.83,SLEV,VQPXJ IZVF,**************5173,DBSSSGSG,FKTA BZKY,**************2784,HSBCGB2L,INVOICE 29812,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000454297,2026-07-10T06:08:40.798,pacs.008.001.08,EUR,MSG00000477184,2026-07-08T21:48:38,1,CLRG,REF00000100879,abe3d29d-a4c8-1c0d-722b-f110073c8789,1478.61,SLEV,VZUCC XTJK,**************2239,DBSSSGSG,VKNP UBON,**************3899,CITIUS33,INVOICE 46875,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000551348,2026-07-14T01:18:34.401,pacs.008.001.08,USD,MSG00000141360,2026-07-10T09:04:42,1,CLRG,REF00000410949,a66680d0-08d0-dd52-7173-06cc0643a322,557.87,SHAR,DOBGM UMYY,**************5042,UOVBSGSG,GXKV SKBB,**************7496,CITIUS33,INVOICE 74287,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000455569,2026-07-13T08:09:33.838,pacs.008.001.08,EUR,MSG00000611926,2026-07-02T21:49:52,1,CLRG,REF00000149537,dde7eeba-f38f-ea34-38d9-8821fae31716,1610.52,SLEV,CDMZM YLWK,**************5566,UOVBSGSG,DZIW WGTR,**************1115,HSBCGB2L,INVOICE 36579,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000067047,2026-07-05T07:28:29.778,pacs.008.001.08,USD,MSG00000437994,2026-07-14T13:21:32,1,CLRG,REF00000626188,4bb8f1e1-0639-8d59-226a-3e3ffc992d71,1009.4,SLEV,QQQJU ZEPI,**************1389,UOVBSGSG,PWQK HHOQ,**************3959,CITIUS33,INVOICE 22254,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
