_msg_id,_ts,_msg_type,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt@Ccy,FICdtTrf.GrpHdr.MsgId,FICdtTrf.GrpHdr.CreDtTm,FICdtTrf.GrpHdr.NbOfTxs,FICdtTrf.GrpHdr.SttlmInf.SttlmMtd,FICdtTrf.CdtTrfTxInf.PmtId.EndToEndId,FICdtTrf.CdtTrfTxInf.PmtId.UETR,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt,FICdtTrf.CdtTrfTxInf.Dbtr.FinInstnId.BICFI,FICdtTrf.CdtTrfTxInf.Cdtr.FinInstnId.BICFI,_ns,_format,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.Dbtr.Nm,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.DbtrAcct.Id.Othr.Id,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.Cdtr.Nm,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.CdtrAcct.Id.Othr.Id,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.RmtInf.Ustrd
MSG00000788762,2026-07-03T15:06:48.146,pacs.009.001.08,SGD,MSG00000771516,2026-07-13T00:15:41,1,INDA,REF00000796669,e302123b-000b-e425-0f72-221829fb876e,64006,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,QVAQCAK EWP,**************4830,VMFBCS PFC,**************5896,INVOICE 94205
MSG00000526119,2026-07-02T19:49:20.981,pacs.009.001.08,MYR,MSG00000413008,2026-07-12T01:48:06,1,INDA,REF00000310835,640b349e-d815-494e-cbfa-f1f5ee9835dd,105505,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,YDQDPMV IUG,**************6091,LDWWZF SIE,**************4696,INVOICE 18123
MSG00000057566,2026-07-14T09:59:42.180,pacs.009.001.08,USD,MSG00000180859,2026-07-09T02:22:20,1,INDA,REF00000584171,ae22c619-72a9-282d-3c6e-b6d5691b4ffa,314126,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,EEBTFER CWK,**************8616,FAVVBU CYZ,**************1916,INVOICE 21778
MSG00000261111,2026-07-02T13:05:08.968,pacs.009.001.08,SGD,MSG00000571182,2026-07-05T15:17:15,1,INDA,REF00000667139,461dca6c-9da4-88dc-3c86-c1be7f5c902f,286060,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,MJNVPFM UPF,**************8965,JSLUTL GFQ,**************5744,INVOICE 84385
MSG00000227190,2026-07-03T20:16:55.214,pacs.009.001.08,SGD,MSG00000303452,2026-07-09T14:20:23,1,INDA,REF00000190153,ef0e30bf-4ab9-a968-6aaa-82378b40c116,118787,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,VEKQLNQ CYJ,**************7720,IWPSHL QCU,**************8637,INVOICE 60670
MSG00000618685,2026-07-06T04:12:22.727,pacs.009.001.08,SGD,MSG00000330229,2026-07-09T02:57:04,1,INDA,REF00000377542,0a75ff42-75ca-e1b2-d12a-6bcf10e29da4,128628,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,PVYUHWZ AXL,**************9101,SLNFCU AGY,**************9077,INVOICE 39175
MSG00000024880,2026-07-07T20:18:27.487,pacs.009.001.08,EUR,MSG00000375580,2026-07-08T21:48:38,1,INDA,REF00000421746,64481ebb-cdb7-0a83-6b5a-b85e50d76e85,506113,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,LXSNQPY TSP,**************3764,PQOXXZ XLT,**************4075,INVOICE 68582
MSG00000345266,2026-07-09T22:13:21.392,pacs.009.001.08,USD,MSG00000220828,2026-07-02T13:48:36,1,INDA,REF00000461733,3c43ff34-72ac-bc6f-ae3e-265a5c86805a,96983,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,TDBBZVI NKK,**************6591,JSNWSV FMM,**************2372,INVOICE 87157
MSG00000534647,2026-07-11T08:07:12.826,pacs.009.001.08,USD,MSG00000753759,2026-07-14T14:01:45,1,INDA,REF00000366315,099a746e-da8d-8fa7-55d5-7b6de0c2227c,134443,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,WPMYZHW JQK,**************0560,QQOZVV CJZ,**************9725,INVOICE 94641
MSG00000635205,2026-07-04T16:25:10.063,pacs.009.001.08,SGD,MSG00000687569,2026-07-13T23:49:26,1,INDA,REF00000454051,0544cd54-3fa4-df8a-2e7e-28484c6646ad,62170,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,VAQLGUH RAA,**************7827,LOHVYA NNP,**************8692,INVOICE 85640
MSG00000345511,2026-07-08T00:29:48.701,pacs.009.001.08,EUR,MSG00000421859,2026-07-13T02:46:38,1,INDA,REF00000074825,da7f9f00-3e7c-61dc-d552-572c1480b180,38746,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,BNPAWYJ FHT,**************9742,PSBJHO OFI,**************0328,INVOICE 85510
MSG00000117173,2026-07-07T02:44:25.084,pacs.009.001.08,SGD,MSG00000759054,2026-07-14T03:56:08,1,INDA,REF00000054477,5d909a65-9f0d-da93-da1d-5c3a63c2a42a,34767,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,XTPIYCC TOY,**************9039,TALBST GDZ,**************8221,INVOICE 87466
MSG00000586314,2026-07-13T06:02:43.131,pacs.009.001.08,SGD,MSG00000659341,2026-07-05T13:44:01,1,INDA,REF00000383860,e518c91a-6273-0220-bd0c-262babcb3044,96949,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,QVAQCAK EWP,**************1658,OLWXED BIS,**************1764,INVOICE 12574
MSG00000070183,2026-07-09T03:02:11.654,pacs.009.001.08,SGD,MSG00000078949,2026-07-07T08:26:12,1,INDA,REF00000578867,51af2db0-a657-5df4-fc98-4b4897954e18,439820,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,NLBLUZY WZA,**************8940,QBGTJG PVM,**************5524,INVOICE 81057
MSG00000451021,2026-07-09T23:05:34.775,pacs.009.001.08,SGD,MSG00000395544,2026-07-09T22:46:08,1,INDA,REF00000656039,9acd8e1a-6a3c-bd9c-985e-651ce47c9bd8,71975,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,HKROKVD UXZ,**************3835,VMFBCS PFC,**************2978,INVOICE 98944
MSG00000135281,2026-07-08T03:29:56.002,pacs.009.001.08,USD,MSG00000386041,2026-07-11T13:40:38,1,INDA,REF00000101184,585ce88e-5ef1-96c4-2649-95df17fc3513,46272,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,DEEDPLD RAC,**************2760,YGEKMI TXN,**************6039,INVOICE 02359
MSG00000290328,2026-07-02T20:50:10.927,pacs.009.001.08,SGD,MSG00000713225,2026-07-04T23:33:06,1,INDA,REF00000511696,9be72a16-cbf9-55a0-aabe-d29d3a4c8f1c,29509,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,ANAUHWU QSR,**************6040,ZCSCQL LWP,**************9441,INVOICE 60478
