_msg_id,_ts,_msg_type,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.Amt.InstdAmt@Ccy,CstmrCdtTrfInitn.GrpHdr.MsgId,CstmrCdtTrfInitn.GrpHdr.CreDtTm,CstmrCdtTrfInitn.GrpHdr.NbOfTxs,CstmrCdtTrfInitn.GrpHdr.InitgPty.Nm,CstmrCdtTrfInitn.PmtInf.PmtInfId,CstmrCdtTrfInitn.PmtInf.PmtMtd,CstmrCdtTrfInitn.PmtInf.ReqdExctnDt.Dt,CstmrCdtTrfInitn.PmtInf.Dbtr.Nm,CstmrCdtTrfInitn.PmtInf.DbtrAcct.Id.IBAN,CstmrCdtTrfInitn.PmtInf.DbtrAgt.FinInstnId.BICFI,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.PmtId.EndToEndId,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.Amt.InstdAmt,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.Cdtr.Nm,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.CdtrAcct.Id.IBAN,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.RmtInf.Ustrd,_ns,_format
PAIN00000762328,2026-07-09T19:48:46.852,pain.001.001.09,SGD,PAIN00000725102,2026-07-07T05:27:35,1,YOD ACZSBVWC,BATCH896935,TRF,2026-07-04,DYLHA AZA,**************0695,OCBCSGSG,REF00000483040,629.27,LUTPTO ECFWDA,**************5266,INVOICE 11771,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000749952,2026-07-04T02:01:02.934,pain.001.001.09,USD,PAIN00000352611,2026-07-14T04:56:28,1,QPH CVROCTVC,BATCH397431,TRF,2026-07-09,QSBIR CUJ,**************2487,DBSSSGSG,REF00000798683,623.96,PLIHUG OQVAQC,**************3690,INVOICE 92648,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000349886,2026-07-08T17:23:51.512,pain.001.001.09,USD,PAIN00000752515,2026-07-04T08:47:55,1,AKE WPVMFBCS,BATCH128061,TRF,2026-07-02,PFCRG EAL,**************8831,OCBCSGSG,REF00000417186,778.46,YDQEVJ OBNIVZ,**************1916,INVOICE 57566,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000586168,2026-07-13T16:27:25.656,pain.001.001.09,MYR,PAIN00000787922,2026-07-07T15:19:50,1,BFI EJEYOBSM,BATCH340476,TRF,2026-07-14,YLPKS OPB,**************1416,OCBCSGSG,REF00000334229,632.07,ZPTFOX YQOJID,**************5795,INVOICE 79379,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000049222,2026-07-07T23:04:05.141,pain.001.001.09,USD,PAIN00000211288,2026-07-09T03:12:13,1,YFN NYDQDPMV,BATCH078438,TRF,2026-07-03,IUGLD WWZ,**************9005,OCBCSGSG,REF00000234540,783.11,FSIEXK ZZOXCC,**************1372,INVOICE 24911,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000637510,2026-07-13T13:37:22.680,pain.001.001.09,EUR,PAIN00000776727,2026-07-03T22:46:02,1,MGB JZBHQCZW,BATCH034527,TRF,2026-07-02,KJOCS ICW,**************2807,UOVBSGSG,REF00000703316,556.73,NGDMGW OQHZLG,**************3840,INVOICE 21927,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000261868,2026-07-11T12:29:06.308,pain.001.001.09,EUR,PAIN00000754289,2026-07-05T12:00:17,1,QWN FSGJBLRE,BATCH115390,TRF,2026-07-02,PYRPK EEB,**************0741,UOVBSGSG,REF00000388689,936.76,TFERCW KFAVVB,**************7639,INVOICE 61594,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000435233,2026-07-06T18:12:13.660,pain.001.001.09,SGD,PAIN00000021024,2026-07-04T10:26:17,1,UCY ZEGBNMXK,BATCH605734,TRF,2026-07-04,GVMIR UJN,**************2932,DBSSSGSG,REF00000438002,239.73,KVSERC YIINMS,**************0465,INVOICE 27465,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000242128,2026-07-01T08:51:52.388,pain.001.001.09,USD,PAIN00000737994,2026-07-07T14:52:09,1,IQD WMIGJWSM,BATCH161508,TRF,2026-07-04,BLOHY PFM,**************8361,OCBCSGSG,REF00000181104,1477.17,JACPMJ NVPFMU,**************2227,INVOICE 50430,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000315871,2026-07-06T04:50:39.273,pain.001.001.09,SGD,PAIN00000394242,2026-07-14T05:16:23,1,PFJ SLUTLGFQ,BATCH216958,TRF,2026-07-09,SOZVP VAZ,**************5045,UOVBSGSG,REF00000534647,498.14,ZXOVZD ALZPCE,**************8940,INVOICE 78955,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
