uetr,ts,service,status,msg_type,rail,amount,currency,debtor_account,debtor_name,country,latency_ms
e302123b-000b-e425-0f72-221829fb876e,2026-07-04T10:00:16.381,gateway,OK,0200,FAST,241.82,USD,**************1928,Qvaqca Kewp,MY,30
e302123b-000b-e425-0f72-221829fb876e,2026-07-04T10:00:16.472,auth,OK,0200,FAST,241.82,USD,**************1928,Qvaqca Kewp,MY,38
e302123b-000b-e425-0f72-221829fb876e,2026-07-04T10:00:16.553,validation,OK,0200,FAST,241.82,USD,**************1928,Qvaqca Kewp,MY,67
e302123b-000b-e425-0f72-221829fb876e,2026-07-04T10:00:16.702,aml,OK,0200,FAST,241.82,USD,**************1928,Qvaqca Kewp,MY,220
e302123b-000b-e425-0f72-221829fb876e,2026-07-04T10:00:16.903,payment-hub,OK,0200,FAST,241.82,USD,**************1928,Qvaqca Kewp,MY,62
e302123b-000b-e425-0f72-221829fb876e,2026-07-04T10:00:16.958,core-banking,OK,0200,FAST,241.82,USD,**************1928,Qvaqca Kewp,MY,203
e302123b-000b-e425-0f72-221829fb876e,2026-07-04T10:00:17.062,settlement,SETTLED,0200,FAST,241.82,USD,**************1928,Qvaqca Kewp,MY,115
c512f526-0b34-e1d8-5849-e1cbfaef1f5e,2026-07-03T00:54:55.627,gateway,OK,pacs.008,FAST,493.98,USD,**************6383,Xyqoji Dyfn,HK,25
c512f526-0b34-e1d8-5849-e1cbfaef1f5e,2026-07-03T00:54:55.746,auth,OK,pacs.008,FAST,493.98,USD,**************6383,Xyqoji Dyfn,HK,63
c512f526-0b34-e1d8-5849-e1cbfaef1f5e,2026-07-03T00:54:55.945,validation,OK,pacs.008,FAST,493.98,USD,**************6383,Xyqoji Dyfn,HK,49
c512f526-0b34-e1d8-5849-e1cbfaef1f5e,2026-07-03T00:54:56.070,aml,OK,pacs.008,FAST,493.98,USD,**************6383,Xyqoji Dyfn,HK,57
c512f526-0b34-e1d8-5849-e1cbfaef1f5e,2026-07-03T00:54:56.166,payment-hub,OK,pacs.008,FAST,493.98,USD,**************6383,Xyqoji Dyfn,HK,78
c512f526-0b34-e1d8-5849-e1cbfaef1f5e,2026-07-03T00:54:56.209,core-banking,OK,pacs.008,FAST,493.98,USD,**************6383,Xyqoji Dyfn,HK,115
c512f526-0b34-e1d8-5849-e1cbfaef1f5e,2026-07-03T00:54:56.271,settlement,SETTLED,pacs.008,FAST,493.98,USD,**************6383,Xyqoji Dyfn,HK,281
d33fc86b-584a-22c6-9172-9e282d63c6e7,2026-07-14T12:15:59.802,gateway,OK,MT103,FAST,263.54,EUR,**************8208,Zlgqwn Fsgj,SG,41
d33fc86b-584a-22c6-9172-9e282d63c6e7,2026-07-14T12:15:59.886,auth,OK,MT103,FAST,263.54,EUR,**************8208,Zlgqwn Fsgj,SG,22
d33fc86b-584a-22c6-9172-9e282d63c6e7,2026-07-14T12:15:59.940,validation,OK,MT103,FAST,263.54,EUR,**************8208,Zlgqwn Fsgj,SG,93
d33fc86b-584a-22c6-9172-9e282d63c6e7,2026-07-14T12:16:00.215,aml,OK,MT103,FAST,263.54,EUR,**************8208,Zlgqwn Fsgj,SG,140
d33fc86b-584a-22c6-9172-9e282d63c6e7,2026-07-14T12:16:00.271,payment-hub,OK,MT103,FAST,263.54,EUR,**************8208,Zlgqwn Fsgj,SG,128
d33fc86b-584a-22c6-9172-9e282d63c6e7,2026-07-14T12:16:00.358,core-banking,OK,MT103,FAST,263.54,EUR,**************8208,Zlgqwn Fsgj,SG,111
d33fc86b-584a-22c6-9172-9e282d63c6e7,2026-07-14T12:16:00.409,settlement,SETTLED,MT103,FAST,263.54,EUR,**************8208,Zlgqwn Fsgj,SG,325
1b4ffa44-542a-0124-1dca-c89da4288dc8,2026-07-14T23:05:06.377,gateway,OK,pacs.008,FAST,329.05,SGD,**************4505,Qdwmig Jwsm,IN,49
1b4ffa44-542a-0124-1dca-c89da4288dc8,2026-07-14T23:05:06.481,auth,OK,pacs.008,FAST,329.05,SGD,**************4505,Qdwmig Jwsm,IN,83
1b4ffa44-542a-0124-1dca-c89da4288dc8,2026-07-14T23:05:06.545,validation,OK,pacs.008,FAST,329.05,SGD,**************4505,Qdwmig Jwsm,IN,115
1b4ffa44-542a-0124-1dca-c89da4288dc8,2026-07-14T23:05:06.599,aml,OK,pacs.008,FAST,329.05,SGD,**************4505,Qdwmig Jwsm,IN,272
1b4ffa44-542a-0124-1dca-c89da4288dc8,2026-07-14T23:05:06.638,payment-hub,OK,pacs.008,FAST,329.05,SGD,**************4505,Qdwmig Jwsm,IN,147
1b4ffa44-542a-0124-1dca-c89da4288dc8,2026-07-14T23:05:06.728,core-banking,OK,pacs.008,FAST,329.05,SGD,**************4505,Qdwmig Jwsm,IN,112
1b4ffa44-542a-0124-1dca-c89da4288dc8,2026-07-14T23:05:06.952,settlement,SETTLED,pacs.008,FAST,329.05,SGD,**************4505,Qdwmig Jwsm,IN,219
1be7f5c9-2fc9-f5cf-9bb6-ef0e30bf24ab,2026-07-13T22:42:18.654,gateway,OK,pacs.008,FAST,400.03,INR,**************4369,Yyjjvv Sksj,SG,51
1be7f5c9-2fc9-f5cf-9bb6-ef0e30bf24ab,2026-07-13T22:42:18.728,auth,OK,pacs.008,FAST,400.03,INR,**************4369,Yyjjvv Sksj,SG,26
1be7f5c9-2fc9-f5cf-9bb6-ef0e30bf24ab,2026-07-13T22:42:18.827,validation,OK,pacs.008,FAST,400.03,INR,**************4369,Yyjjvv Sksj,SG,90
1be7f5c9-2fc9-f5cf-9bb6-ef0e30bf24ab,2026-07-13T22:42:18.892,aml,OK,pacs.008,FAST,400.03,INR,**************4369,Yyjjvv Sksj,SG,299
1be7f5c9-2fc9-f5cf-9bb6-ef0e30bf24ab,2026-07-13T22:42:18.956,payment-hub,OK,pacs.008,FAST,400.03,INR,**************4369,Yyjjvv Sksj,SG,128
1be7f5c9-2fc9-f5cf-9bb6-ef0e30bf24ab,2026-07-13T22:42:19.055,core-banking,OK,pacs.008,FAST,400.03,INR,**************4369,Yyjjvv Sksj,SG,85
1be7f5c9-2fc9-f5cf-9bb6-ef0e30bf24ab,2026-07-13T22:42:19.130,settlement,SETTLED,pacs.008,FAST,400.03,INR,**************4369,Yyjjvv Sksj,SG,256
6826aaae-2378-40c1-64ab-298f7b20a75f,2026-07-11T19:08:33.182,gateway,OK,0200,SWIFT,371.11,USD,**************9670,Pvvert Tcer,SG,40
6826aaae-2378-40c1-64ab-298f7b20a75f,2026-07-11T19:08:33.431,auth,OK,0200,SWIFT,371.11,USD,**************9670,Pvvert Tcer,SG,56
6826aaae-2378-40c1-64ab-298f7b20a75f,2026-07-11T19:08:33.495,validation,OK,0200,SWIFT,371.11,USD,**************9670,Pvvert Tcer,SG,75
6826aaae-2378-40c1-64ab-298f7b20a75f,2026-07-11T19:08:33.607,aml,OK,0200,SWIFT,371.11,USD,**************9670,Pvvert Tcer,SG,253
6826aaae-2378-40c1-64ab-298f7b20a75f,2026-07-11T19:08:33.650,payment-hub,OK,0200,SWIFT,371.11,USD,**************9670,Pvvert Tcer,SG,136
6826aaae-2378-40c1-64ab-298f7b20a75f,2026-07-11T19:08:33.727,core-banking,OK,0200,SWIFT,371.11,USD,**************9670,Pvvert Tcer,SG,81
6826aaae-2378-40c1-64ab-298f7b20a75f,2026-07-11T19:09:03.745,settlement,SETTLED,0200,SWIFT,371.11,USD,**************9670,Pvvert Tcer,SG,71
75ca4e1b-bd12-76bc-10e2-da4f70bbd520,2026-07-10T05:35:02.545,gateway,OK,pacs.008,CARDS,51.93,MYR,**************6518,Gygttr Xeqe,GB,53
75ca4e1b-bd12-76bc-10e2-da4f70bbd520,2026-07-10T05:35:02.627,auth,OK,pacs.008,CARDS,51.93,MYR,**************6518,Gygttr Xeqe,GB,52
75ca4e1b-bd12-76bc-10e2-da4f70bbd520,2026-07-10T05:35:02.776,validation,OK,pacs.008,CARDS,51.93,MYR,**************6518,Gygttr Xeqe,GB,92
75ca4e1b-bd12-76bc-10e2-da4f70bbd520,2026-07-10T05:35:02.852,aml,OK,pacs.008,CARDS,51.93,MYR,**************6518,Gygttr Xeqe,GB,285
75ca4e1b-bd12-76bc-10e2-da4f70bbd520,2026-07-10T05:35:02.916,payment-hub,OK,pacs.008,CARDS,51.93,MYR,**************6518,Gygttr Xeqe,GB,137
75ca4e1b-bd12-76bc-10e2-da4f70bbd520,2026-07-10T05:35:03.007,core-banking,OK,pacs.008,CARDS,51.93,MYR,**************6518,Gygttr Xeqe,GB,107
75ca4e1b-bd12-76bc-10e2-da4f70bbd520,2026-07-10T05:35:03.050,settlement,SETTLED,pacs.008,CARDS,51.93,MYR,**************6518,Gygttr Xeqe,GB,176
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-08T05:01:39.118,gateway,OK,pacs.008,SWIFT,118.61,EUR,**************0824,Ytsppq Oxxz,IN,55
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-08T05:01:39.171,auth,OK,pacs.008,SWIFT,118.61,EUR,**************0824,Ytsppq Oxxz,IN,54
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-08T05:01:39.281,validation,OK,pacs.008,SWIFT,118.61,EUR,**************0824,Ytsppq Oxxz,IN,45
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-08T05:01:39.337,aml,OK,pacs.008,SWIFT,118.61,EUR,**************0824,Ytsppq Oxxz,IN,188
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-08T05:01:39.462,payment-hub,OK,pacs.008,SWIFT,118.61,EUR,**************0824,Ytsppq Oxxz,IN,89
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-08T05:01:39.552,core-banking,OK,pacs.008,SWIFT,118.61,EUR,**************0824,Ytsppq Oxxz,IN,199
81ebb9cd-790a-316b-a9b8-e50d76e85bdf,2026-07-08T05:01:39.642,settlement,SETTLED,pacs.008,SWIFT,118.61,EUR,**************0824,Ytsppq Oxxz,IN,117
b3c43ff3-872a-9bc6-eae3-2265a5c86805,2026-07-09T09:19:17.062,gateway,OK,0200,FAST,880.87,USD,**************1906,Vktdbb Zvin,IN,59
b3c43ff3-872a-9bc6-eae3-2265a5c86805,2026-07-09T09:19:17.234,auth,OK,0200,FAST,880.87,USD,**************1906,Vktdbb Zvin,IN,80
b3c43ff3-872a-9bc6-eae3-2265a5c86805,2026-07-09T09:19:17.319,validation,OK,0200,FAST,880.87,USD,**************1906,Vktdbb Zvin,IN,103
b3c43ff3-872a-9bc6-eae3-2265a5c86805,2026-07-09T09:19:17.378,aml,OK,0200,FAST,880.87,USD,**************1906,Vktdbb Zvin,IN,204
